#                prod                 mint                mhscp              mrec200 
                 1404                 1399                  100                  0.0 
                  750                  436                  250                  0.0 
                  497                  334                  100                  0.0 
                  541                  370                  250                  0.0 
                  315                  307                  300                  0.0 
                 5100                  205                  200                  0.0 
                 4407                 1059                  250                  0.0 
                 3285                  305                  300                  0.0 
                 1147                  302                  150                  0.0 
                 4397                  603                  400    0.000688927039368 
                  507                  387                  350       0.466663894491 
                 2073                 2068                  450       0.099387151387 
                 1095                  793                  300                  0.0 
                 1243                  731                  250                  0.0 
                 1316                  593                  450       0.476660135188 
                  448                  443                  300                  0.0 
                 3916                  105                  100                  0.0 
                 1092                  518                  400       0.482615146426 
                 2812                 2807                  450       0.015063110463 
                 2103                  966                  200                  0.0 
                  541                  536                  250                  0.0 
                 2167                  240                  150                  0.0 
                 3880                  775                  150                  0.0 
                 2823                  640                  300                  0.0 
                 2342                  842                  500       0.257012004081 
                 2167                 1393                  150                  0.0 
                  408                  378                  350       0.418497233736 
                 2226                  803                  100                  0.0 
                 2103                 1424                  200                  0.0 
                  458                  405                  400       0.439390585226 
                 3767                  780                  350      0.0595343099265 
                  606                  455                  450         0.5037650083 
                  767                  355                  350       0.471162651186 
                 4416                 1160                  300                  0.0 
                 2823                 1343                  300                  0.0 
                  576                  571                  350       0.486786955232 
                 4377                 3051                  500     0.00130934215623 
                  661                  656                  200                  0.0 
                 2917                  672                  150                  0.0 
                 2001                  842                  350        0.20113694229 
                 5100                 2847                  150                  0.0 
                  758                  753                  450       0.552937868996 
                  452                  398                  350       0.434139572961 
                 3271                  455                  450     0.00077208655264 
                  502                  497                  400        0.46314167454 
                 3208                 1272                  500       0.175679217345 
                 1644                  656                  100                  0.0 
                 3798                  983                  250                  0.0 
                 1137                  455                  450       0.469453664019 
                 1230                  659                  350       0.398404675909 
                 2576                  520                  100                  0.0 
                  853                  599                  100                  0.0 
                 1741                  516                  400       0.206703472831 
                 1050                  363                  250                  0.0 
                 5100                 1188                  100                  0.0 
                 3249                  810                  400       0.100151504819 
                 4475                  196                  100                  0.0 
                  576                  400                  350        0.49403130342 
                 2036                  720                  250                  0.0 
                 1285                  437                  300                  0.0 
                 3416                 1069                  100                  0.0 
                  497                  492                  100                  0.0 
                  784                  205                  200                  0.0 
                  666                  578                  500       0.513071070135 
                 2421                 2416                  300                  0.0 
                 3271                 1693                  450       0.114213236185 
                  750                  745                  250                  0.0 
                  338                  333                  150                  0.0 
                  784                  286                  200                  0.0 
                  818                  537                  150                  0.0 
                 3285                  453                  300                  0.0 
                 1012                  223                  100                  0.0 
                  507                  355                  350       0.466589921614 
                  552                  547                  450       0.481457466567 
                 1488                  775                  400       0.385323422898 
                 1644                 1639                  100                  0.0 
                 1285                  305                  300                  0.0 
                 3799                 3794                  450     0.00392481599466 
                  448                  335                  300                  0.0 
                 3208                 3203                  500      0.0109023334649 
                  512                  507                  300                  0.0 
                  741                  736                  500       0.548960643295 
                 3841                  334                  200                  0.0 
                  338                  227                  150                  0.0 
                 1050                  734                  250                  0.0 
                  716                  273                  100                  0.0 
                 1285                  625                  300                  0.0 
                  557                  336                  200                  0.0 
                 1298                  515                  200                  0.0 
                 4406                  664                  450     0.00118903167454 
                  228                  223                  100                  0.0 
                 1050                 1045                  250                  0.0 
                 3916                 2140                  100                  0.0 
                  541                  255                  250                  0.0 
                  661                  205                  200                  0.0 
                  625                  405                  400       0.517616706067 
                 3767                  355                  350    0.000175483575016 
                 3226                 1544                  350      0.0717085257306 
                 1588                  336                  150                  0.0 
                 2859                  205                  200                  0.0 
                 5100                 5095                  500     0.00218755214028 
                  853                  848                  100                  0.0 
                 1741                  658                  400       0.296253671743 
                 2823                  927                  300                  0.0 
                  463                  295                  250                  0.0 
                  970                  155                  150                  0.0 
                  814                  405                  400       0.513197555691 
                 1298                  379                  200                  0.0 
                 3750                 1375                  500       0.144428397175 
                  710                  465                  400       0.531423424191 
                  483                  205                  150                  0.0 
                  294                  243                  200                  0.0 
                  228                  105                  100                  0.0 
                  758                  664                  450        0.55057369754 
                  576                  507                  350       0.488013801456 
                  279                  274                  100                  0.0 
                  397                  305                  300                  0.0 
                 1285                  894                  300                  0.0 
                  338                  188                  150                  0.0 
                  560                  555                  500       0.473354445757 
                  970                  525                  150                  0.0 
                  557                  552                  200                  0.0 
                 1796                  422                  200                  0.0 
                 5100                 3466                  500    8.21976392713e-05 
                 4432                 4427                  200                  0.0 
                 1012                 1007                  100                  0.0 
                 1092                  849                  400       0.477226785514 
                 1796                  870                  200                  0.0 
                  662                  355                  350       0.491239515696 
                 1195                  105                  100                  0.0 
                 3285                 1486                  300                  0.0 
                 1095                  577                  300                  0.0 
                  589                  359                  300                  0.0 
                 1769                  733                  300                  0.0 
                 1741                 1362                  400       0.199170158792 
                  684                  455                  300                  0.0 
                 2167                  579                  150                  0.0 
                  950                  591                  500       0.578952944442 
                 1243                  562                  250                  0.0 
                  284                  241                  150                  0.0 
                 2859                  765                  200                  0.0 
                  688                  683                  150                  0.0 
                 5100                  731                  100                  0.0 
                 1796                  294                  200                  0.0 
                 2742                  505                  500      0.0183346516475 
                  228                  153                  100                  0.0 
                  767                  762                  350       0.473521875214 
                 4416                  305                  300                  0.0 
                  338                  155                  150                  0.0 
                 2001                  473                  350      0.0778819804478 
                 3767                 2538                  350    0.000685673545642 
                  853                  211                  100                  0.0 
                 4389                 1248                  350      0.0769225955699 
                 2456                  205                  200                  0.0 
                 2001                  635                  500       0.257425642056 
                 2972                 2967                  100                  0.0 
                 2036                  509                  250                  0.0 
                 5100                 1091                  500      0.0633279753359 
                  894                  889                  350       0.437767766785 
                 3249                 3244                  400     0.00539437462261 
                 2797                  380                  250                  0.0 
                  339                  250                  100                  0.0 
                 1195                  353                  100                  0.0 
                 1796                  205                  200                  0.0 
                 2415                  793                  450       0.196915690384 
                  862                  455                  450       0.549316439869 
                 1273                  539                  400        0.42936562541 
                 5100                  277                  100                  0.0 
                  412                  207                  100                  0.0 
                 1047                  608                  350       0.453148282529 
                 1316                  455                  450       0.397893930239 
                 3319                  518                  200                  0.0 
                 2037                 1187                  400       0.217780883924 
                 2859                 1840                  200                  0.0 
                 1047                 1042                  350       0.365919654142 
                 3813                  305                  300                  0.0 
                 1508                  883                  300                  0.0 
                 1099                  271                  200                  0.0 
                 5100                  155                  150                  0.0 
                 3264                  255                  250                  0.0 
                 4397                 1334                  400      0.0891109976574 
                 4406                 4401                  450     0.00293523350469 
                  515                  507                  500       0.459160897947 
                 3798                 3793                  250                  0.0 
                  339                  105                  100                  0.0 
                  710                  614                  400       0.530736854146 
                 1137                  718                  450       0.540939003062 
                 1917                  170                  100                  0.0 
                 1404                  383                  100                  0.0 
                  750                  570                  250                  0.0 
                 2001                 1587                  500       0.248081896767 
                 1298                  951                  200                  0.0 
                 1711                 1258                  500       0.397876315513 
                  215                  207                  200                  0.0 
                 1047                  355                  350       0.355878088294 
                 2576                  305                  100                  0.0 
                  577                  298                  150                  0.0 
                 2576                  105                  100                  0.0 
                 1858                  810                  150                  0.0 
                  294                  205                  200                  0.0 
                 2167                  155                  150                  0.0 
                 1262                  634                  500       0.536274041597 
                  356                  351                  300                  0.0 
                 4377                 2129                  500      0.0795799779113 
                 1858                  155                  150                  0.0 
                 3285                  673                  300                  0.0 
                 5100                  171                  100                  0.0 
                 2823                  305                  300                  0.0 
                 1588                  730                  150                  0.0 
                  940                  499                  400       0.515493062087 
                  228                  127                  100                  0.0 
                 1404                  105                  100                  0.0 
                  835                  572                  500         0.5688962014 
                 3798                  627                  250                  0.0 
                 2226                 2221                  100                  0.0 
                 2757                 1391                  350      0.0965700960704 
                 2001                  505                  500         0.1543224971 
                  341                  262                  200                  0.0 
                 2757                  988                  350       0.134355720148 
                 1917                  448                  100                  0.0 
                 1352                 1347                  150                  0.0 
                 2383                 1770                  400      0.0540500259729 
                  929                  299                  200                  0.0 
                 3319                  326                  200                  0.0 
                 2415                 1047                  450        0.23074772282 
                 4454                  271                  150                  0.0 
                 4432                  205                  200                  0.0 
                 2036                  255                  250                  0.0 
                  688                  225                  150                  0.0 
                  716                  105                  100                  0.0 
                 2037                  405                  400      0.0489860144949 
                  688                  155                  150                  0.0 
                 3841                 2354                  200                  0.0 
                 1917                  276                  100                  0.0 
                  203                  175                  150                  0.0 
                 4407                 4402                  250                  0.0 
                 1779                  455                  450       0.172656756116 
                 1741                  838                  400       0.316847054137 
                 3767                  526                  350    0.000949774279253 
                 3783                  588                  400     0.00315201589484 
                  279                  216                  100                  0.0 
                 4406                  969                  450      0.0706577930886 
                 5100                 1022                  200                  0.0 
                  784                  400                  200                  0.0 
                 3799                 1314                  450       0.127543840356 
                 2071                  305                  300                  0.0 
                 3264                  390                  250                  0.0 
                 1050                  255                  250                  0.0 
                 1243                  951                  250                  0.0 
                 1352                  319                  150                  0.0 
                 1012                  691                  100                  0.0 
                 2390                 2385                  250                  0.0 
                 5100                 1604                  500      0.0983718461017 
                  508                  503                  450       0.459500399717 
                  399                  255                  250                  0.0 
                 1702                  598                  350       0.236429853412 
                 4475                 4470                  100                  0.0 
                  674                  501                  450       0.526787629591 
                 2073                  586                  450       0.168679074081 
                 5100                 1018                  450      0.0539219526478 
                  797                  387                  300                  0.0 
                 2001                 1497                  350      0.0746735761038 
                 5100                  455                  450    0.000158519948793 
                  348                  255                  250                  0.0 
                 2917                  412                  150                  0.0 
                 5100                  105                  100                  0.0 
                 2784                  558                  400      0.0260201615448 
                 2812                 1530                  450        0.14407998071 
                 5100                 5095                  450     0.00201214399743 
                 1644                  262                  100                  0.0 
                 1741                 1069                  400       0.288202047606 
                  471                  252                  200                  0.0 
                  240                  235                  150                  0.0 
                  767                  630                  350       0.491750286458 
                 1047                  796                  350       0.425280374354 
                  940                  615                  400       0.534024743895 
                 4475                 1280                  100                  0.0 
                 2001                 1122                  350       0.171801549004 
                  552                  499                  450       0.477794634199 
                 3319                 1311                  200                  0.0 
                 1047                  465                  350        0.43285444094 
                 5100                 3093                  250                  0.0 
                  797                  305                  300                  0.0 
                  662                  563                  350       0.502337426185 
                  448                  305                  300                  0.0 
                 2390                 1643                  250                  0.0 
                  557                  405                  400       0.490939801116 
                  452                  447                  350       0.447098740159 
                 2415                  455                  450      0.0257981421169 
                  458                  453                  400       0.440468410396 
                 2167                  898                  150                  0.0 
                  338                  275                  150                  0.0 
                 2342                 1810                  500       0.144835537235 
                 1446                  715                  350        0.33185895462 
                  152                  105                  100                  0.0 
                 1858                  354                  150                  0.0 
                  661                  490                  200                  0.0 
                 3750                 1920                  500       0.104782783409 
                  186                  181                  100                  0.0 
                 1731                  663                  250                  0.0 
                  152                  124                  100                  0.0 
                  557                  263                  200                  0.0 
                  306                  277                  250                  0.0 
                 2518                  247                  150                  0.0 
                 2784                  405                  400     0.00184713150863 
                 2383                 2378                  400      0.0232481101006 
                 1644                 1037                  100                  0.0 
                  625                  450                  400       0.512904225952 
                  412                  290                  100                  0.0 
                  284                  208                  150                  0.0 
                  933                  305                  300                  0.0 
                 5100                  355                  350    0.000178012261986 
                 2797                 1874                  250                  0.0 
                 4454                 1453                  150                  0.0 
                  397                  346                  300                  0.0 
                 2167                 2162                  150                  0.0 
                  636                  255                  250                  0.0 
                 1095                  419                  300                  0.0 
                 3249                  405                  400    0.000277711408963 
                 4432                 2653                  200                  0.0 
                 2812                  616                  450      0.0433195488276 
                  710                  534                  400        0.53177987012 
                 2859                 1186                  200                  0.0 
                 1796                 1248                  200                  0.0 
                  483                  272                  150                  0.0 
                 1711                 1706                  500       0.299684581813 
                 2073                 1607                  450       0.163356480422 
                 1779                 1414                  450       0.264387179066 
                  576                  450                  350       0.491093604217 
                 2518                  993                  150                  0.0 
                 3369                 1206                  150                  0.0 
                 1588                 1075                  150                  0.0 
                 2001                 1262                  500        0.33152409427 
                 2421                  608                  300                  0.0 
                  741                  670                  500         0.5453920576 
                  636                  401                  250                  0.0 
                 3249                 1146                  400       0.128733512712 
                 3208                 1730                  500       0.138229695127 
                 1731                 1726                  250                  0.0 
                 3841                 3836                  200                  0.0 
                 1243                  255                  250                  0.0 
                  835                  505                  500       0.558956611361 
                 1404                  909                  100                  0.0 
                 1467                 1121                  500       0.481763801781 
                  341                  232                  200                  0.0 
                 2518                  155                  150                  0.0 
                  577                  215                  150                  0.0 
                 4475                 2392                  100                  0.0 
                 3226                  513                  350     0.00603750906377 
                 3369                  722                  150                  0.0 
                  666                  661                  500       0.520178408784 
                 2972                  183                  100                  0.0 
                 3880                 3875                  150                  0.0 
                 1099                  205                  200                  0.0 
                 1095                 1090                  300                  0.0 
                 2351                  486                  350      0.0366351294201 
                 1529                  833                  450       0.442465141892 
                 5100                 3341                  400    9.44119713882e-05 
                 2917                 2912                  150                  0.0 
                  348                  296                  250                  0.0 
                 3264                 1394                  250                  0.0 
                 2518                 1580                  150                  0.0 
                 3841                  205                  200                  0.0 
                  598                  162                  100                  0.0 
                 5100                  553                  350    0.000154039513454 
                 4454                 2543                  150                  0.0 
                  589                  496                  300                  0.0 
                 1529                  455                  450       0.291665173974 
                  818                  235                  150                  0.0 
                 4475                  105                  100                  0.0 
                 3319                 3314                  200                  0.0 
                  341                  297                  200                  0.0 
                 2456                 1072                  200                  0.0 
                 3767                 3762                  350      0.0024305849621 
                 5100                 1878                  250                  0.0 
                 1446                 1015                  350       0.266563149303 
                 4406                  455                  450    0.000202103568654 
                 1195                  794                  100                  0.0 
                 3319                  824                  200                  0.0 
                 4432                  342                  200                  0.0 
                 4475                  685                  100                  0.0 
                  458                  428                  400         0.4447352987 
                 5100                 3268                  350     0.00012672020743 
                 1316                 1006                  450       0.478543022618 
                 1012                  325                  100                  0.0 
                 5100                 1523                  450      0.0880517522766 
                 5100                 5095                  250                  0.0 
                  674                  455                  450       0.531565251338 
                 1731                  912                  250                  0.0 
                  929                  634                  200                  0.0 
                 2167                  373                  150                  0.0 
                 3271                  632                  450      0.0188239639978 
                  862                  732                  450       0.559201376599 
                  636                  631                  250                  0.0 
                  339                  140                  100                  0.0 
                 2812                  834                  450       0.151706734189 
                 1468                  611                  250                  0.0 
                 5100                 1345                  350      0.0684018768121 
                  767                  520                  350       0.506100925072 
                 1147                  421                  150                  0.0 
                 3249                  573                  400      0.0117545498259 
                  684                  679                  300                  0.0 
                 2037                 1553                  400       0.114132061467 
                 2226                  105                  100                  0.0 
                  940                  759                  400       0.517996692774 
                 3249                 1621                  400      0.0904833419132 
                 1012                  105                  100                  0.0 
                 4377                 1037                  500      0.0839611344621 
                 1468                 1093                  250                  0.0 
                 1316                 1311                  450       0.415174051465 
                 2742                 2065                  500      0.0716864215467 
                  674                  669                  450       0.534172239942 
                 2797                  255                  250                  0.0 
                  284                  155                  150                  0.0 
                  404                  196                  150                  0.0 
                 3783                  405                  400     0.00042796976996 
                  497                  227                  100                  0.0 
                 1741                  405                  400       0.118936703716 
                 1099                  828                  200                  0.0 
                 4377                  505                  500    0.000345297276017 
                  284                  279                  150                  0.0 
                 2071                  420                  300                  0.0 
                 3916                  192                  100                  0.0 
                  814                  481                  400       0.536407751154 
                 2351                  913                  350        0.16525117086 
                 5100                  505                  500    0.000101618667932 
                  557                  473                  400       0.482735985683 
                  463                  255                  250                  0.0 
                 2518                 2513                  150                  0.0 
                  970                  387                  150                  0.0 
                 1858                  234                  150                  0.0 
                 1529                 1091                  200                  0.0 
                  557                  431                  200                  0.0 
                  415                  407                  400       0.426866661636 
                 1137                  901                  450       0.521028851747 
                 2071                 2066                  300                  0.0 
                 3813                 1078                  300                  0.0 
                 1230                  899                  350       0.354160268468 
                  741                  505                  500       0.547325101734 
                 1796                  606                  200                  0.0 
                  716                  376                  100                  0.0 
                 3750                 3745                  500     0.00487178154024 
                 1298                 1293                  200                  0.0 
                 2972                  558                  100                  0.0 
                 4389                 4384                  350     0.00126272134011 
                 2576                  885                  100                  0.0 
                 2812                 2073                  450      0.0380668802174 
                 5100                 2982                  200                  0.0 
                 1092                 1087                  400       0.435434553753 
                 3799                  455                  450    0.000255631505365 
                 1917                  105                  100                  0.0 
                 1488                  405                  400       0.223481134284 
                 3813                  708                  300                  0.0 
                  710                  405                  400       0.524978088852 
                 3416                 3411                  100                  0.0 
                  341                  205                  200                  0.0 
                 3813                 1641                  300                  0.0 
                 1588                  228                  150                  0.0 
                 1404                  249                  100                  0.0 
                 2037                  530                  400       0.123061871508 
                 5100                 2191                  400      0.0372901901721 
                 1298                  700                  200                  0.0 
                 5100                  405                  400    0.000201121245575 
                  716                  199                  100                  0.0 
                  294                  289                  200                  0.0 
                 1099                  358                  200                  0.0 
                 4454                  155                  150                  0.0 
                  741                  610                  500       0.538715305806 
                 3416                  598                  100                  0.0 
                  662                  483                  350       0.502291555133 
                  255                  226                  200                  0.0 
                  400                  242                  200                  0.0 
                 2421                  431                  300                  0.0 
                 3416                  105                  100                  0.0 
                 2226                  290                  100                  0.0 
                 2226                  483                  100                  0.0 
                 1316                  772                  450       0.509009790241 
                 2103                 2098                  200                  0.0 
                  894                  707                  350       0.469467364989 
                  797                  792                  300                  0.0 
                 1769                  409                  300                  0.0 
                  408                  403                  350       0.418095652973 
                  970                  965                  150                  0.0 
                  933                  403                  300                  0.0 
                  607                  602                  500       0.493357382982 
                 3916                  641                  100                  0.0 
                 4407                  659                  250                  0.0 
                 1508                  305                  300                  0.0 
                 3767                 1713                  350      0.0517060958426 
                 1099                  626                  200                  0.0 
                 1779                 1127                  450       0.346601974539 
                  557                  205                  200                  0.0 
                  552                  455                  450       0.477646076934 
                 3798                 2419                  250                  0.0 
                  716                  144                  100                  0.0 
                  716                  517                  100                  0.0 
                  767                  430                  350       0.501025075183 
                 2001                  798                  500       0.341139909146 
                  688                  471                  150                  0.0 
                 2742                  669                  500       0.075171632031 
                  894                  447                  350       0.471927789063 
                  471                  380                  200                  0.0 
                 3750                 2682                  500      0.0102935490563 
                  636                  320                  250                  0.0 
                  666                  505                  500       0.511583916718 
                 1702                  461                  350       0.150058362724 
                 3369                  259                  150                  0.0 
                  306                  255                  250                  0.0 
                  412                  147                  100                  0.0 
                  950                  945                  500       0.559991554537 
                 1702                 1697                  350        0.09138569913 
                 1644                  105                  100                  0.0 
                 3798                  400                  250                  0.0 
                 4389                  821                  350      0.0441971418619 
                  929                  924                  200                  0.0 
                  716                  711                  100                  0.0 
                  399                  353                  250                  0.0 
                 4377                 4372                  500     0.00388075830042 
                 3783                  853                  400      0.0740020356545 
                  661                  274                  200                  0.0 
                 3798                 1542                  250                  0.0 
                  502                  449                  400       0.454337300081 
                 3208                  505                  500     0.00223147785233 
                 1508                 1503                  300                  0.0 
                  152                  147                  100                  0.0 
                 2415                 2410                  450      0.0394236554045 
                 5100                  780                  300                  0.0 
                 1273                  717                  400       0.453998039082 
                 3841                 1445                  200                  0.0 
                 2518                  624                  150                  0.0 
                 2812                 1130                  450       0.184701312781 
                 1529                  781                  200                  0.0 
                 2456                 2451                  200                  0.0 
                 5100                 1993                  300                  0.0 
                 2518                  392                  150                  0.0 
                 1769                  547                  300                  0.0 
                 4406                 3015                  450    0.000496478925496 
                  970                  711                  150                  0.0 
                 1588                 1583                  150                  0.0 
                 1099                  474                  200                  0.0 
                  507                  460                  350       0.468467273325 
                  987                  810                  450       0.549630046395 
                 2103                  302                  200                  0.0 
                 5100                 5095                  300                  0.0 
                  512                  393                  300                  0.0 
                 3416                  335                  100                  0.0 
                  598                  593                  100                  0.0 
                 3841                  887                  200                  0.0 
                  797                  624                  300                  0.0 
                 3916                  351                  100                  0.0 
                 3285                 2208                  300                  0.0 
                 2073                  455                  450      0.0811373788938 
                 1092                  405                  400       0.428053044273 
                 3750                  985                  500       0.105134523818 
                  400                  285                  200                  0.0 
                  339                  187                  100                  0.0 
                 1262                  505                  500       0.482510348376 
                 1095                  305                  300                  0.0 
                 1731                  351                  250                  0.0 
                 2972                  105                  100                  0.0 
                  165                  157                  150                  0.0 
                 2342                  505                  500      0.0609448751216 
                 3208                  935                  500       0.145214683572 
                  888                  883                  250                  0.0 
                  507                  502                  350        0.46956445627 
                 5100                  598                  200                  0.0 
                 1091                  741                  500       0.577883960111 
                 2036                 1437                  250                  0.0 
                  933                  703                  300                  0.0 
                  483                  155                  150                  0.0 
                 2383                  544                  400      0.0602529604254 
                 2823                 2818                  300                  0.0 
                 3226                  355                  350    0.000447656949801 
                 2071                  577                  300                  0.0 
                  589                  584                  300                  0.0 
                 5100                  889                  150                  0.0 
                 2036                 1017                  250                  0.0 
                 2456                  469                  200                  0.0 
                  598                  385                  100                  0.0 
                 2812                  455                  450     0.00563108263421 
                 1137                 1132                  450       0.486628965763 
                  758                  585                  450       0.550638989025 
                  625                  501                  400       0.513708225779 
                 2342                 2337                  500      0.0821082673775 
                 3799                  923                  450      0.0888656005028 
                  560                  505                  500       0.474164826865 
                 1644                  166                  100                  0.0 
                 3208                  687                  500      0.0330311982587 
                 2001                 1996                  500       0.174122795901 
                 5100                  692                  250                  0.0 
                  577                  155                  150                  0.0 
                 1467                 1462                  500        0.41388634259 
                 2226                  175                  100                  0.0 
                  341                  336                  200                  0.0 
                 1711                  928                  500       0.443427462004 
                 4407                 2738                  250                  0.0 
                  463                  396                  250                  0.0 
                 2797                  566                  250                  0.0 
                 2742                 1176                  500       0.218859795197 
                  598                  105                  100                  0.0 
                  502                  405                  400       0.463380659881 
                  203                  155                  150                  0.0 
                 1588                  155                  150                  0.0 
                  970                  285                  150                  0.0 
                  853                  105                  100                  0.0 
                 2421                 1711                  300                  0.0 
                 3880                  155                  150                  0.0 
                 3750                  705                  500      0.0114843115823 
                 2742                 1558                  500       0.183733937724 
                 1468                  817                  250                  0.0 
                 3880                  453                  150                  0.0 
                 2421                 1212                  300                  0.0 
                 1230                  355                  350       0.258543009989 
                 1858                  536                  150                  0.0 
                  404                  249                  150                  0.0 
                 2071                 1092                  300                  0.0 
                 1091                 1086                  500       0.549939372837 
                 4416                  743                  300                  0.0 
                 3226                 2230                  350     0.00383681802272 
                 2823                 1945                  300                  0.0 
                 1273                  405                  400       0.332194043673 
                  265                  257                  250                  0.0 
                 4389                  540                  350    0.000291293344619 
                 2757                 1956                  350      0.0127491451924 
                 2797                 1257                  250                  0.0 
                  929                  205                  200                  0.0 
                  853                  298                  100                  0.0 
                  987                  668                  450       0.561985498361 
                 3880                  265                  150                  0.0 
                 4397                 1984                  400      0.0512452693459 
                  814                  572                  400       0.540153957129 
                  508                  478                  450       0.466731637336 
                 1702                 1007                  350       0.232302357025 
                  625                  557                  400       0.514005389445 
                 2757                  499                  350      0.0142048892199 
                 2415                 1383                  450       0.196965837669 
                 3416                  188                  100                  0.0 
                 1243                  332                  250                  0.0 
                 1779                 1774                  450       0.196835131623 
                 1858                 1853                  150                  0.0 
                 4416                  476                  300                  0.0 
                 1050                  516                  250                  0.0 
                 1508                  677                  300                  0.0 
                  408                  355                  350       0.417548771761 
                 3880                 2266                  150                  0.0 
                  814                  680                  400       0.531931493375 
                  950                  808                  500       0.573194333779 
                  397                  392                  300                  0.0 
                  279                  170                  100                  0.0 
                  607                  505                  500       0.488874168124 
                 4397                  896                  400      0.0549508645975 
                 2784                  770                  400       0.126624665314 
                  894                  355                  350       0.423628119215 
                 2383                  405                  400      0.0120472645683 
                  512                  305                  300                  0.0 
                  818                  355                  150                  0.0 
                 2917                  155                  150                  0.0 
                 3783                 1795                  400       0.067986749961 
                 5100                  618                  400    0.000127916433103 
                 3271                 2352                  450      0.0151174185201 
                 2001                  631                  350       0.180350903016 
                  818                  155                  150                  0.0 
                  399                  284                  250                  0.0 
                 1702                  355                  350      0.0748377344939 
                 2351                 1713                  350      0.0341647777215 
                 5100                 1140                  250                  0.0 
                 4389                  355                  350    0.000205624681752 
                  400                  205                  200                  0.0 
                 2390                  537                  250                  0.0 
