#          mhscp             xs        eff_opt        err_opt       eff_M000       err_M000       eff_M100       err_M100       eff_M200       err_M200       eff_M300       err_M300
   7.5000000E+02  2.6989100E-06  6.7181959E-01  1.6282344E-02  6.7240911E-01  1.6308223E-02  6.7239864E-01  1.6305779E-02  6.7230557E-01  1.6296286E-02  6.7181959E-01  1.6282344E-02
   8.0000000E+02  1.6917700E-06  6.7145430E-01  1.7135415E-02  6.7189850E-01  1.7133998E-02  6.7189603E-01  1.7133704E-02  6.7182380E-01  1.7132850E-02  6.7145430E-01  1.7135415E-02
   8.5000000E+02  1.0681500E-06  6.6418333E-01  1.7210393E-02  6.6457712E-01  1.7205876E-02  6.6457523E-01  1.7205459E-02  6.6451997E-01  1.7206348E-02  6.6418333E-01  1.7210393E-02
   9.0000000E+02  6.8094000E-07  6.4750086E-01  1.7598492E-02  6.4786430E-01  1.7597509E-02  6.4786138E-01  1.7596704E-02  6.4781573E-01  1.7596559E-02  6.4750086E-01  1.7598492E-02
   9.5000000E+02  4.3659000E-07  6.2722893E-01  1.8071986E-02  6.2756601E-01  1.8079355E-02  6.2755909E-01  1.8077200E-02  6.2751836E-01  1.8077090E-02  6.2722893E-01  1.8071986E-02
   1.0000000E+03  2.8186000E-07  6.0686212E-01  1.7895687E-02  6.0713606E-01  1.7896375E-02  6.0713207E-01  1.7895166E-02  6.0710034E-01  1.7895021E-02  6.0686212E-01  1.7895687E-02
   1.0500000E+03  1.8308200E-07  5.8447254E-01  1.7590011E-02  5.8473209E-01  1.7591824E-02  5.8473105E-01  1.7591842E-02  5.8469783E-01  1.7590080E-02  5.8447254E-01  1.7590011E-02
   1.1000000E+03  1.1911700E-07  5.6129964E-01  1.7516971E-02  5.6153477E-01  1.7523570E-02  5.6153410E-01  1.7523587E-02  5.6150496E-01  1.7521861E-02  5.6129964E-01  1.7516971E-02
   1.1500000E+03  7.7847000E-08  5.3184890E-01  1.7948759E-02  5.3205852E-01  1.7954541E-02  5.3205087E-01  1.7951904E-02  5.3202333E-01  1.7949547E-02  5.3184890E-01  1.7948759E-02
   1.2000000E+03  5.0785000E-08  5.1172346E-01  1.9346620E-02  5.1190360E-01  1.9352509E-02  5.1190291E-01  1.9352316E-02  5.1188462E-01  1.9351591E-02  5.1172346E-01  1.9346620E-02
   1.2500000E+03  3.3365500E-08  4.8022679E-01  2.3318638E-02  4.8039364E-01  2.3322662E-02  4.8039239E-01  2.3322285E-02  4.8037948E-01  2.3321890E-02  4.8022679E-01  2.3318638E-02
   1.3000000E+03  2.1871200E-08  4.3483449E-01  2.8514345E-02  4.3499571E-01  2.8518164E-02  4.3499540E-01  2.8518085E-02  4.3498688E-01  2.8517836E-02  4.3483449E-01  2.8514345E-02
   1.3500000E+03  1.4353400E-08  3.7734743E-01  3.4959047E-02  3.7748558E-01  3.4963502E-02  3.7748544E-01  3.4963488E-02  3.7747833E-01  3.4963264E-02  3.7734743E-01  3.4959047E-02
   1.4000000E+03  9.4110000E-09  3.1564476E-01  3.6807762E-02  3.1575899E-01  3.6812872E-02  3.1575884E-01  3.6812894E-02  3.1575433E-01  3.6812863E-02  3.1564476E-01  3.6807762E-02
   1.4500000E+03  6.1562000E-09  2.7288670E-01  3.2756494E-02  2.7295454E-01  3.2759501E-02  2.7295438E-01  3.2759477E-02  2.7295014E-01  3.2759365E-02  2.7288670E-01  3.2756494E-02
   1.5000000E+03  4.0307900E-09  2.4672419E-01  2.6204180E-02  2.4677226E-01  2.6206061E-02  2.4677221E-01  2.6206044E-02  2.4676806E-01  2.6205871E-02  2.4672419E-01  2.6204180E-02
   1.5500000E+03  2.6315300E-09  2.3041164E-01  1.9253357E-02  2.3045642E-01  1.9254867E-02  2.3045635E-01  1.9254851E-02  2.3045082E-01  1.9254402E-02  2.3041164E-01  1.9253357E-02
   1.6000000E+03  1.7151700E-09  2.2273710E-01  1.5950139E-02  2.2277777E-01  1.5951049E-02  2.2277774E-01  1.5951036E-02  2.2277449E-01  1.5950888E-02  2.2273710E-01  1.5950139E-02
   1.6500000E+03  1.1130300E-09  2.1409345E-01  1.7664799E-02  2.1413399E-01  1.7666125E-02  2.1413399E-01  1.7666122E-02  2.1412985E-01  1.7665762E-02  2.1409345E-01  1.7664799E-02
   1.7000000E+03  7.2007000E-10  2.0458366E-01  2.1456618E-02  2.0461587E-01  2.1457180E-02  2.0461587E-01  2.1457180E-02  2.0461320E-01  2.1457005E-02  2.0458366E-01  2.1456618E-02
   1.7500000E+03  4.6438000E-10  1.8770308E-01  2.4116881E-02  1.8772557E-01  2.4117189E-02  1.8772557E-01  2.4117189E-02  1.8772353E-01  2.4117081E-02  1.8770308E-01  2.4116881E-02
   1.8000000E+03  2.9750900E-10  1.6710216E-01  2.6090455E-02  1.6712121E-01  2.6090932E-02  1.6712121E-01  2.6090932E-02  1.6711873E-01  2.6090792E-02  1.6710216E-01  2.6090455E-02
   1.8500000E+03  1.9020900E-10  1.4510067E-01  2.5823654E-02  1.4511415E-01  2.5824015E-02  1.4511415E-01  2.5824015E-02  1.4511240E-01  2.5823919E-02  1.4510067E-01  2.5823654E-02
   1.9000000E+03  1.2070100E-10  1.2155346E-01  2.4267598E-02  1.2156633E-01  2.4268082E-02  1.2156633E-01  2.4268082E-02  1.2156452E-01  2.4267960E-02  1.2155346E-01  2.4267598E-02
   1.9500000E+03  7.6181000E-11  1.0109485E-01  2.1489664E-02  1.0110586E-01  2.1490247E-02  1.0110586E-01  2.1490247E-02  1.0110438E-01  2.1490075E-02  1.0109485E-01  2.1489664E-02
   2.0000000E+03  4.7766000E-11  8.3831876E-02  1.8750510E-02  8.3842308E-02  1.8751070E-02  8.3842308E-02  1.8751070E-02  8.3840926E-02  1.8750944E-02  8.3831876E-02  1.8750510E-02
   2.1000000E+03  1.8406000E-11  5.8685060E-02  1.4379265E-02  5.8693732E-02  1.4379835E-02  5.8693732E-02  1.4379835E-02  5.8692399E-02  1.4379675E-02  5.8685060E-02  1.4379265E-02
   2.2000000E+03  6.8989000E-12  4.1653968E-02  1.1330800E-02  4.1662536E-02  1.1331280E-02  4.1662536E-02  1.1331280E-02  4.1661437E-02  1.1331223E-02  4.1653968E-02  1.1330800E-02
   2.3000000E+03  2.4933500E-12  3.0327072E-02  8.4889743E-03  3.0333436E-02  8.4894667E-03  3.0333436E-02  8.4894667E-03  3.0332629E-02  8.4893471E-03  3.0327072E-02  8.4889743E-03
   2.4000000E+03  8.7327000E-13  2.3593108E-02  6.0738494E-03  2.3600285E-02  6.0744226E-03  2.3600285E-02  6.0744226E-03  2.3599376E-02  6.0742981E-03  2.3593108E-02  6.0738494E-03
   2.5000000E+03  2.9415800E-13  1.9554416E-02  4.8514465E-03  1.9560633E-02  4.8519680E-03  1.9560633E-02  4.8519680E-03  1.9559969E-02  4.8518588E-03  1.9554416E-02  4.8514465E-03
