Path: /HepData/8678/d188-x1-y1
Signal acceptance times reconstruction efficiency in PCT for SR6jm
Location: Auxiliary Figure 43b
RE : P P --> GLUINO < QUARK QUARK NEUTRALINO > GLUINO < QUARK QUARK NEUTRALINO >
SQRT(S) : 8000.0 GeV
x : GLUINO MASS IN GEV
x2: GLUINO MASS IN GEV
y : Signal acceptance times reconstruction efficiency in PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	987.0	987.0	987.0		162.0	162.0	162.0	0.06639
	1025.0	1025.0	1025.0		125.0	125.0	125.0	0.07564
	1062.0	1062.0	1062.0		87.0	87.0	87.0	0.06935
	1100.0	1100.0	1100.0		50.0	50.0	50.0	0.07226
	1137.0	1137.0	1137.0		12.0	12.0	12.0	0.07727
	612.0	612.0	612.0		587.0	587.0	587.0	0.0
	625.0	625.0	625.0		575.0	575.0	575.0	2.451E-4
	637.0	637.0	637.0		562.0	562.0	562.0	4.925E-4
	675.0	675.0	675.0		525.0	525.0	525.0	0.001832
	712.0	712.0	712.0		487.0	487.0	487.0	0.003761
	750.0	750.0	750.0		450.0	450.0	450.0	0.00855
	787.0	787.0	787.0		412.0	412.0	412.0	0.01663
	825.0	825.0	825.0		375.0	375.0	375.0	0.01888
	862.0	862.0	862.0		337.0	337.0	337.0	0.03549
	900.0	900.0	900.0		300.0	300.0	300.0	0.0376
	937.0	937.0	937.0		262.0	262.0	262.0	0.04724
	975.0	975.0	975.0		225.0	225.0	225.0	0.05809
	1012.0	1012.0	1012.0		187.0	187.0	187.0	0.06348
	1050.0	1050.0	1050.0		150.0	150.0	150.0	0.06484
	1087.0	1087.0	1087.0		112.0	112.0	112.0	0.07077
	1125.0	1125.0	1125.0		75.0	75.0	75.0	0.08382
	1162.0	1162.0	1162.0		37.0	37.0	37.0	0.08338
	1200.0	1200.0	1200.0		0.0	0.0	0.0	0.08306
	637.0	637.0	637.0		612.0	612.0	612.0	0.0
	650.0	650.0	650.0		600.0	600.0	600.0	0.0
	662.0	662.0	662.0		587.0	587.0	587.0	1.608E-4
	700.0	700.0	700.0		550.0	550.0	550.0	0.002115
	737.0	737.0	737.0		512.0	512.0	512.0	0.003363
	775.0	775.0	775.0		475.0	475.0	475.0	0.01024
	812.0	812.0	812.0		437.0	437.0	437.0	0.01758
	850.0	850.0	850.0		400.0	400.0	400.0	0.02354
	887.0	887.0	887.0		362.0	362.0	362.0	0.03241
	925.0	925.0	925.0		325.0	325.0	325.0	0.04097
	962.0	962.0	962.0		287.0	287.0	287.0	0.04961
	1000.0	1000.0	1000.0		250.0	250.0	250.0	0.06344
	1037.0	1037.0	1037.0		212.0	212.0	212.0	0.07204
	1075.0	1075.0	1075.0		175.0	175.0	175.0	0.07285
	1112.0	1112.0	1112.0		137.0	137.0	137.0	0.08071
	1150.0	1150.0	1150.0		100.0	100.0	100.0	0.0797
	1187.0	1187.0	1187.0		62.0	62.0	62.0	0.07631
	1225.0	1225.0	1225.0		25.0	25.0	25.0	0.09108
	662.0	662.0	662.0		637.0	637.0	637.0	0.0
	675.0	675.0	675.0		625.0	625.0	625.0	1.194E-9
	687.0	687.0	687.0		612.0	612.0	612.0	6.312E-4
	725.0	725.0	725.0		575.0	575.0	575.0	0.001151
	762.0	762.0	762.0		537.0	537.0	537.0	0.002877
	800.0	800.0	800.0		500.0	500.0	500.0	0.009243
	837.0	837.0	837.0		462.0	462.0	462.0	0.01498
	875.0	875.0	875.0		425.0	425.0	425.0	0.02477
	912.0	912.0	912.0		387.0	387.0	387.0	0.02926
	950.0	950.0	950.0		350.0	350.0	350.0	0.04356
	987.0	987.0	987.0		312.0	312.0	312.0	0.05631
	1025.0	1025.0	1025.0		275.0	275.0	275.0	0.05566
