#: table_doi: 10.17182/hepdata.95354.v2/t15
#: name: Cut-flow table for 300 GeV (wino LSP) 2017
#: description: Predicted signal yields for the 2017 data-taking period, corresponding to $41.5\,\text{fb}^{-1}$, after the application of each search requirement for three chargino lifetime hypotheses ($\tau = 0.3$, $3.3$, and $33\,\text{ns}{}$) with a chargino mass of $300\,\text{GeV}{}$ in the case of a purely wino neutralino LSP. Excepting the final three, the requirements listed are cumulative such that only the events and objects passing a given requirement are considered in subsequent requirements. In the case of the final three requirements on the number of tracker layers with measurement, these are exclusive signal category selections where only one is applied for each category. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: cut-flow_table_for_300_gev_(wino_lsp)_2017.yaml
Requirement,"Number of passing events for $\tau = 0.3\,\text{ns}{}$",1 s.d. +,1 s.d. -
$\geq 1$ track with $\geq 3$ missing outer hits,269.3,11.4,-11.4
$\geq 1$ track with number of tracker layers with measurement == $4$,55.0,5.2,-5.2
$\geq 1$ track with number of tracker layers with measurement == $5$,50.7,4.9,-4.9
$\geq 1$ track with number of tracker layers with measurement \geq 6$,169.9,9.1,-9.1

Requirement,"Number of passing events for $\tau = 33\,\text{ns}{}$",1 s.d. +,1 s.d. -
total,23941.0,107.8,-107.8
trigger,3396.3,40.6,-40.6
passes $p_{\text{T}}^{\text{miss}}$ filters,3391.5,40.6,-40.6
"$p_{\text{T}}^{\text{miss}} > 120\,\text{GeV}{}$",3129.3,39.0,-39.0
"$\geq 1$ jet with $p_{\text{T}} > 110\,\text{GeV}{}$ and $|\eta| < 2.4$",1975.5,31.0,-31.0
"==0 pairs of jets with $\Delta\phi_{\text{jet, jet}} > 2.5$",1726.3,29.0,-29.0
"$|\Delta\phi(\mbox{leading jet}, \vec{p}_{\text{T}}^{\text{miss}})| > 0.5$",1725.9,28.9,-28.9
$\geq 1$ track with $|\eta| < 2.1$,1715.2,28.9,-28.9
"$\geq 1$ track with $p_{\text{T}} > 55\,\text{GeV}{}$",1493.7,26.9,-26.9
$\geq 1$ track passing fiducial selections,1080.5,22.9,-22.9
$\geq 1$ track with $\geq 4$ pixel hits,793.5,19.6,-19.6
$\geq 1$ track with no missing inner hits,786.2,19.5,-19.5
$\geq 1$ track with no missing middle hits,712.4,18.6,-18.6
$\geq 1$ track with relative track isolation $< 5\%$,603.1,17.1,-17.1
"$\geq 1$ track with $|d_{\text{xy}}| < 0.02\,\text{cm}{}$",603.1,17.1,-17.1
"$\geq 1$ track with $|d_z| < 0.5\,\text{cm}{}$",603.1,17.1,-17.1
"$\geq 1$ track with $\Delta R (\text{track}, \text{jet}) > 0.5$",594.9,17.0,-17.0
"$\geq 1$ track with $\Delta R (\text{track}, \text{electron}) > 0.15$",558.9,16.5,-16.5
"$\geq 1$ track with $\Delta R (\text{track}, \text{muon}) > 0.15$",192.8,9.7,-9.7
"$\geq 1$ track with $\Delta R (\text{track}, \tau_{\text{h}}) > 0.15$",192.8,9.7,-9.7
"$\geq 1$ track with $E_{\text{calo}} < 10\,\text{GeV}{}$",191.8,9.7,-9.7
$\geq 1$ track with $\geq 3$ missing outer hits,55.4,5.2,-5.2
$\geq 1$ track with number of tracker layers with measurement == $4$,8.74,2.06,-2.06
$\geq 1$ track with number of tracker layers with measurement == $5$,8.74,2.06,-2.06
$\geq 1$ track with number of tracker layers with measurement \geq 6$,37.9,4.3,-4.3

