#: table_doi: 10.17182/hepdata.95354.v2/t30
#: name: chargino+neutralino acceptances (wino LSP, 2018A)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018A data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+neutralino_acceptances_(wino_lsp,_2018a).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
0.30021,800.0,0.0016928,0.00022869,-0.00022869
0.33356,800.0,0.0019479,0.00026055,-0.00026055
0.66713,800.0,0.0029655,0.00040248,-0.00040248
1.0007,800.0,0.0035709,0.00044501,-0.00044501
1.3343,800.0,0.0037069,0.00044374,-0.00044374
1.6678,800.0,0.0036495,0.00042742,-0.00042742
2.0014,800.0,0.0035144,0.00040647,-0.00040647
2.3349,800.0,0.0033517,0.00038482,-0.00038482
2.6685,800.0,0.0031838,0.000364,-0.000364
3.0021,800.0,0.0030206,0.00034454,-0.00034454
3.3356,800.0,0.0028666,0.0003266,-0.0003266
6.6713,800.0,0.0021511,0.00057371,-0.00057371
10.007,800.0,0.0015782,0.00041952,-0.00041952
13.343,800.0,0.0012427,0.00032989,-0.00032989
16.678,800.0,0.0010238,0.00027161,-0.00027161
20.014,800.0,0.00087021,0.00023076,-0.00023076
23.349,800.0,0.00075653,0.00020056,-0.00020056
26.685,800.0,0.00066905,0.00017734,-0.00017734
30.021,800.0,0.00059966,0.00015893,-0.00015893
33.356,800.0,0.0005433,0.00014397,-0.00014397
66.713,800.0,0.00027491,9.808e-05,-9.808e-05
100.07,800.0,0.00018953,6.6635e-05,-6.6635e-05
133.43,800.0,0.00014535,5.0712e-05,-5.0712e-05
166.78,800.0,0.00011813,4.1045e-05,-4.1045e-05
200.14,800.0,9.9586e-05,3.4528e-05,-3.4528e-05
233.49,800.0,8.6121e-05,2.9824e-05,-2.9824e-05
266.85,800.0,7.5887e-05,2.6264e-05,-2.6264e-05
300.21,800.0,6.7839e-05,2.3471e-05,-2.3471e-05
333.56,800.0,6.1342e-05,2.1221e-05,-2.1221e-05
0.0066713,900.0,1.0424e-29,6.2625e-30,-6.2625e-30
0.010007,900.0,8.6815e-21,4.5539e-21,-4.5539e-21
0.013343,900.0,2.3815e-16,1.1699e-16,-1.1699e-16
