#: table_doi: 10.17182/hepdata.95354.v2/t25
#: name: chargino+chargino acceptances (wino LSP, 2017)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2017 data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+chargino_acceptances_(wino_lsp,_2017).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
0.13343,700.0,0.00022849,4.3684e-05,-4.3684e-05
0.16678,700.0,0.00050812,8.2374e-05,-8.2374e-05
0.20014,700.0,0.00086202,0.00012562,-0.00012562
0.23349,700.0,0.0012506,0.00016942,-0.00016942
0.26685,700.0,0.0016438,0.00021227,-0.00021227
0.30021,700.0,0.0020219,0.00025406,-0.00025406
0.33356,700.0,0.0023738,0.00029521,-0.00029521
0.66713,700.0,0.0046944,0.00082342,-0.00082342
1.0007,700.0,0.0055693,0.00079308,-0.00079308
1.3343,700.0,0.0056251,0.00070637,-0.00070637
1.6678,700.0,0.0053974,0.00062295,-0.00062295
2.0014,700.0,0.0050828,0.0005538,-0.0005538
2.3349,700.0,0.0047564,0.00049845,-0.00049845
2.6685,700.0,0.0044478,0.00045453,-0.00045453
3.0021,700.0,0.0041666,0.00041997,-0.00041997
3.3356,700.0,0.0039145,0.00039327,-0.00039327
6.6713,700.0,0.0032493,0.0011363,-0.0011363
10.007,700.0,0.0023109,0.00070246,-0.00070246
13.343,700.0,0.0017816,0.00048946,-0.00048946
16.678,700.0,0.0014486,0.00036874,-0.00036874
20.014,700.0,0.0012223,0.00029359,-0.00029359
23.349,700.0,0.0010591,0.00024386,-0.00024386
26.685,700.0,0.00093551,0.00020949,-0.00020949
30.021,700.0,0.00083799,0.00018491,-0.00018491
33.356,700.0,0.0007585,0.00016674,-0.00016674
66.713,700.0,0.0001897,0.00014308,-0.00014308
100.07,700.0,0.00012795,8.8818e-05,-8.8818e-05
133.43,700.0,9.604e-05,6.0393e-05,-6.0393e-05
166.78,700.0,7.8519e-05,4.4167e-05,-4.4167e-05
200.14,700.0,6.763e-05,3.437e-05,-3.437e-05
233.49,700.0,5.9957e-05,2.8183e-05,-2.8183e-05
266.85,700.0,5.4002e-05,2.4082e-05,-2.4082e-05
300.21,700.0,4.9082e-05,2.1206e-05,-2.1206e-05
333.56,700.0,4.4867e-05,1.9063e-05,-1.9063e-05
0.0066713,800.0,2.2141e-28,2.2043e-28,-2.2043e-28
0.010007,800.0,9.116e-20,8.7483e-20,-8.7483e-20
0.013343,800.0,1.6683e-15,1.4808e-15,-1.4808e-15
0.016678,800.0,5.8164e-13,4.6966e-13,-4.6966e-13
0.020014,800.0,2.8394e-11,2.0989e-11,-2.0989e-11
0.023349,800.0,4.5245e-10,3.1073e-10,-3.1073e-10
0.026685,800.0,3.5868e-09,2.3196e-09,-2.3196e-09
0.030021,800.0,1.7873e-08,1.0983e-08,-1.0983e-08
0.033356,800.0,6.4415e-08,3.7801e-08,-3.7801e-08
0.066713,800.0,2.0508e-05,7.9215e-06,-7.9215e-06
0.10007,800.0,0.00014414,3.9808e-05,-3.9808e-05
0.13343,800.0,0.00038674,8.4536e-05,-8.4536e-05
0.16678,800.0,0.00069837,0.00013011,-0.00013011
0.20014,800.0,0.0010317,0.00017181,-0.00017181
0.23349,800.0,0.0013614,0.00020865,-0.00020865
0.26685,800.0,0.001681,0.00024164,-0.00024164
0.30021,800.0,0.0019971,0.00027385,-0.00027385
0.33356,800.0,0.0023254,0.0003125,-0.0003125
0.66713,800.0,0.006966,0.0013219,-0.0013219
1.0007,800.0,0.0075048,0.0010261,-0.0010261
1.3343,800.0,0.0074749,0.00084916,-0.00084916
1.6678,800.0,0.0071896,0.00073179,-0.00073179
2.0014,800.0,0.0068048,0.0006467,-0.0006467
2.3349,800.0,0.0063924,0.00058174,-0.00058174
2.6685,800.0,0.0059844,0.00053064,-0.00053064
3.0021,800.0,0.0055946,0.00048951,-0.00048951
3.3356,800.0,0.0052286,0.00045566,-0.00045566
6.6713,800.0,0.0029391,0.0012464,-0.0012464
10.007,800.0,0.0019976,0.00072309,-0.00072309
13.343,800.0,0.0015174,0.00048717,-0.00048717
16.678,800.0,0.0012237,0.00036112,-0.00036112
20.014,800.0,0.0010232,0.00028487,-0.00028487
23.349,800.0,0.00087623,0.00023449,-0.00023449
26.685,800.0,0.00076307,0.00019899,-0.00019899
30.021,800.0,0.00067283,0.00017275,-0.00017275
33.356,800.0,0.000599,0.00015256,-0.00015256
66.713,800.0,0.0001537,7.6797e-05,-7.6797e-05
100.07,800.0,0.00014192,6.3065e-05,-6.3065e-05
133.43,800.0,0.00012149,4.983e-05,-4.983e-05
166.78,800.0,0.00010385,3.9976e-05,-3.9976e-05
200.14,800.0,9.0016e-05,3.2943e-05,-3.2943e-05
233.49,800.0,7.9574e-05,2.7923e-05,-2.7923e-05
266.85,800.0,7.2125e-05,2.4373e-05,-2.4373e-05
300.21,800.0,6.7322e-05,2.2147e-05,-2.2147e-05
333.56,800.0,6.479e-05,2.1461e-05,-2.1461e-05
0.0066713,900.0,1.3611e-21,1.3611e-21,-1.3611e-21
0.010007,900.0,3.5268e-15,3.5268e-15,-3.5268e-15
0.013343,900.0,4.7909e-12,4.7901e-12,-4.7901e-12
0.016678,900.0,3.2861e-10,3.2826e-10,-3.2826e-10
0.020014,900.0,5.1583e-09,5.1404e-09,-5.1404e-09
0.023349,900.0,3.525e-08,3.4966e-08,-3.4966e-08
0.026685,900.0,1.4429e-07,1.421e-07,-1.421e-07
0.030021,900.0,4.2178e-07,4.1131e-07,-4.1131e-07
0.033356,900.0,9.7768e-07,9.416e-07,-9.416e-07
0.066713,900.0,3.5756e-05,2.5833e-05,-2.5833e-05
0.10007,900.0,0.00014227,5.9491e-05,-5.9491e-05
0.13343,900.0,0.00034727,8.867e-05,-8.867e-05
0.16678,900.0,0.00065094,0.00012054,-0.00012054
0.20014,900.0,0.0010309,0.00015692,-0.00015692
0.23349,900.0,0.0014559,0.00019724,-0.00019724
0.26685,900.0,0.0018948,0.00024074,-0.00024074
0.30021,900.0,0.0023225,0.00028634,-0.00028634
0.33356,900.0,0.0027213,0.0003327,-0.0003327
0.66713,900.0,0.0029486,0.00059294,-0.00059294
1.0007,900.0,0.0039605,0.00061597,-0.00061597
1.3343,900.0,0.0043968,0.00058227,-0.00058227
1.6678,900.0,0.0045396,0.00053942,-0.00053942
2.0014,900.0,0.0045302,0.00050055,-0.00050055
2.3349,900.0,0.0044422,0.00046817,-0.00046817
2.6685,900.0,0.0043161,0.00044207,-0.00044207
3.0021,900.0,0.0041747,0.00042177,-0.00042177
3.3356,900.0,0.0040303,0.00040725,-0.00040725
6.6713,900.0,0.0011018,0.00046345,-0.00046345
10.007,900.0,0.001078,0.00038794,-0.00038794
13.343,900.0,0.00097914,0.00031782,-0.00031782
16.678,900.0,0.00087935,0.00026597,-0.00026597
20.014,900.0,0.00079056,0.00022805,-0.00022805
23.349,900.0,0.00071304,0.00019969,-0.00019969
26.685,900.0,0.00064531,0.00017776,-0.00017776
30.021,900.0,0.00058593,0.0001602,-0.0001602
33.356,900.0,0.00053367,0.0001457,-0.0001457
66.713,900.0,0.00026521,0.00013249,-0.00013249
100.07,900.0,0.00020848,8.5862e-05,-8.5862e-05
133.43,900.0,0.00016843,6.2935e-05,-6.2935e-05
166.78,900.0,0.00013838,4.9246e-05,-4.9246e-05
200.14,900.0,0.00011546,3.9987e-05,-3.9987e-05
233.49,900.0,9.7712e-05,3.329e-05,-3.329e-05
266.85,900.0,8.3727e-05,2.8243e-05,-2.8243e-05
300.21,900.0,7.2529e-05,2.4326e-05,-2.4326e-05
333.56,900.0,6.343e-05,2.1216e-05,-2.1216e-05
0.0066713,1000.0,1.2234e-30,9.5057e-31,-9.5057e-31
0.010007,1000.0,4.5253e-21,3.2764e-21,-3.2764e-21
0.013343,1000.0,2.3812e-16,1.6902e-16,-1.6902e-16
0.016678,1000.0,1.4779e-13,1.0439e-13,-1.0439e-13
0.020014,1000.0,1.0114e-11,7.1303e-12,-7.1303e-12
0.023349,1000.0,1.9841e-10,1.3937e-10,-1.3937e-10
0.026685,1000.0,1.7968e-09,1.2524e-09,-1.2524e-09
0.030021,1000.0,9.7794e-09,6.7272e-09,-6.7272e-09
0.033356,1000.0,3.745e-08,2.5271e-08,-2.5271e-08
0.066713,1000.0,1.4712e-05,6.5446e-06,-6.5446e-06
0.10007,1000.0,0.00011364,3.2924e-05,-3.2924e-05
0.13343,1000.0,0.00033221,7.0494e-05,-7.0494e-05
0.16678,1000.0,0.00066115,0.00011128,-0.00011128
0.20014,1000.0,0.0010825,0.00015348,-0.00015348
0.23349,1000.0,0.0015745,0.0001981,-0.0001981
