#: table_doi: 10.17182/hepdata.95354.v2/t34
#: name: chargino+neutralino acceptances (wino LSP, 2018B)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018B data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+neutralino_acceptances_(wino_lsp,_2018b).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
0.013343,400.0,4.3307e-11,4.0449e-11,-4.0449e-11
0.016678,400.0,1.2041e-09,1.0315e-09,-1.0315e-09
0.020014,400.0,1.1273e-08,8.6965e-09,-8.6965e-09
0.023349,400.0,5.6719e-08,3.9316e-08,-3.9316e-08
0.026685,400.0,1.9323e-07,1.2117e-07,-1.2117e-07
0.030021,400.0,5.068e-07,2.9038e-07,-2.9038e-07
0.033356,400.0,1.106e-06,5.8469e-07,-5.8469e-07
0.066713,400.0,4.6746e-05,1.4187e-05,-1.4187e-05
0.10007,400.0,0.00019868,4.3029e-05,-4.3029e-05
0.13343,400.0,0.00043294,7.7914e-05,-7.7914e-05
0.16678,400.0,0.00069928,0.00011344,-0.00011344
0.20014,400.0,0.00096354,0.00014686,-0.00014686
0.23349,400.0,0.0012088,0.00017725,-0.00017725
0.26685,400.0,0.0014285,0.00020468,-0.00020468
0.30021,400.0,0.0016212,0.0002296,-0.0002296
0.33356,400.0,0.0017881,0.00025251,-0.00025251
0.66713,400.0,0.0023205,0.00041186,-0.00041186
1.0007,400.0,0.0023309,0.00038504,-0.00038504
1.3343,400.0,0.0021972,0.00035035,-0.00035035
1.6678,400.0,0.0020396,0.00031867,-0.00031867
2.0014,400.0,0.0018888,0.00029148,-0.00029148
2.3349,400.0,0.0017525,0.00026835,-0.00026835
2.6685,400.0,0.0016312,0.00024861,-0.00024861
3.0021,400.0,0.0015239,0.0002316,-0.0002316
3.3356,400.0,0.0014287,0.00021682,-0.00021682
6.6713,400.0,0.0011942,0.00043702,-0.00043702
10.007,400.0,0.00084033,0.00030777,-0.00030777
13.343,400.0,0.00064775,0.00023746,-0.00023746
16.678,400.0,0.00052686,0.00019328,-0.00019328
20.014,400.0,0.00044395,0.00016295,-0.00016295
23.349,400.0,0.00038357,0.00014085,-0.00014085
26.685,400.0,0.00033764,0.00012402,-0.00012402
30.021,400.0,0.00030153,0.00011079,-0.00011079
