#: table_doi: 10.17182/hepdata.95354.v2/t31
#: name: chargino+chargino acceptances (higgsino LSP, 2018A)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events, in the case of a purely higgsino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018A data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+chargino_acceptances_(higgsino_lsp,_2018a).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
1.3343,400.0,0.0034216,0.00049282,-0.00049282
1.6678,400.0,0.0032224,0.00043797,-0.00043797
2.0014,400.0,0.0030108,0.00039377,-0.00039377
2.3349,400.0,0.0028096,0.00035822,-0.00035822
2.6685,400.0,0.002625,0.0003293,-0.0003293
3.0021,400.0,0.0024575,0.00030543,-0.00030543
3.3356,400.0,0.0065313,0.0065313,-0.0065313
6.6713,400.0,0.0014091,0.00050385,-0.00050385
10.007,400.0,0.00097115,0.00033995,-0.00033995
13.343,400.0,0.00073084,0.00024936,-0.00024936
16.678,400.0,0.00058691,0.00019464,-0.00019464
20.014,400.0,0.00049551,0.0001593,-0.0001593
23.349,400.0,0.00043461,0.00013563,-0.00013563
26.685,400.0,0.000392,0.00011958,-0.00011958
30.021,400.0,0.0003606,0.00010867,-0.00010867
33.356,400.0,0.0009524,0.0009524,-0.0009524
66.713,400.0,0.00015103,7.357e-05,-7.357e-05
100.07,400.0,0.00011258,5.0907e-05,-5.0907e-05
133.43,400.0,9.45e-05,3.979e-05,-3.979e-05
166.78,400.0,8.3757e-05,3.3249e-05,-3.3249e-05
200.14,400.0,7.6095e-05,2.9039e-05,-2.9039e-05
233.49,400.0,6.9915e-05,2.6118e-05,-2.6118e-05
266.85,400.0,6.4592e-05,2.3926e-05,-2.3926e-05
300.21,400.0,5.9863e-05,2.216e-05,-2.216e-05
333.56,400.0,0.00015751,0.00015751,-0.00015751
0.0066713,500.0,9.1599e-25,7.0249e-25,-7.0249e-25
0.010007,500.0,1.4219e-17,9.1157e-18,-9.1157e-18
0.013343,500.0,5.526e-14,3.1335e-14,-3.1335e-14
0.016678,500.0,7.8879e-12,4.0462e-12,-4.0462e-12
0.020014,500.0,2.1787e-10,1.0231e-10,-1.0231e-10
0.023349,500.0,2.3623e-09,1.0291e-09,-1.0291e-09
0.026685,500.0,1.4283e-08,5.851e-09,-5.851e-09
0.030021,500.0,5.846e-08,2.2757e-08,-2.2757e-08
0.033356,500.0,1.8192e-07,6.7727e-08,-6.7727e-08
0.066713,500.0,3.4237e-05,8.7143e-06,-8.7143e-06
0.10007,500.0,0.00021463,3.9976e-05,-3.9976e-05
0.13343,500.0,0.00056291,8.267e-05,-8.267e-05
0.16678,500.0,0.0010243,0.00012812,-0.00012812
0.20014,500.0,0.0015342,0.00017384,-0.00017384
0.23349,500.0,0.0020445,0.00021854,-0.00021854
0.26685,500.0,0.0025281,0.0002616,-0.0002616
0.30021,500.0,0.0029727,0.00030397,-0.00030397
0.33356,500.0,0.00956,0.00956,-0.00956
0.66713,500.0,0.0063888,0.00093891,-0.00093891
1.0007,500.0,0.006292,0.00077557,-0.00077557
1.3343,500.0,0.0058624,0.00065185,-0.00065185
1.6678,500.0,0.005418,0.0005621,-0.0005621
2.0014,500.0,0.0050217,0.00049636,-0.00049636
2.3349,500.0,0.0046801,0.00044741,-0.00044741
2.6685,500.0,0.0043866,0.00041054,-0.00041054
3.0021,500.0,0.0041327,0.00038279,-0.00038279
3.3356,500.0,0.011077,0.011077,-0.011077
6.6713,500.0,0.0023325,0.00079798,-0.00079798
10.007,500.0,0.0016308,0.00051245,-0.00051245
13.343,500.0,0.0012543,0.00036567,-0.00036567
16.678,500.0,0.0010273,0.00028149,-0.00028149
20.014,500.0,0.000875,0.00022938,-0.00022938
23.349,500.0,0.00076379,0.00019497,-0.00019497
26.685,500.0,0.00067751,0.00017078,-0.00017078
30.021,500.0,0.00060773,0.00015274,-0.00015274
33.356,500.0,0.001557,0.001557,-0.001557
66.713,500.0,0.00047991,0.00016841,-0.00016841
100.07,500.0,0.000304,0.00010102,-0.00010102
133.43,500.0,0.00021589,6.9971e-05,-6.9971e-05
166.78,500.0,0.00016412,5.2561e-05,-5.2561e-05
200.14,500.0,0.00013063,4.163e-05,-4.163e-05
233.49,500.0,0.00010749,3.4231e-05,-3.4231e-05
266.85,500.0,9.0696e-05,2.8942e-05,-2.8942e-05
300.21,500.0,7.8051e-05,2.5001e-05,-2.5001e-05
333.56,500.0,0.0001933,0.0001933,-0.0001933
0.0066713,600.0,7.6452e-23,7.0059e-23,-7.0059e-23
0.010007,600.0,2.648e-16,2.0492e-16,-2.0492e-16
0.013343,600.0,5.2378e-13,3.4294e-13,-3.4294e-13
0.016678,600.0,5.1127e-11,3.0496e-11,-3.0496e-11
0.020014,600.0,1.0872e-09,6.2132e-10,-6.2132e-10
0.023349,600.0,9.6172e-09,5.3467e-09,-5.3467e-09
0.026685,600.0,4.9154e-08,2.6561e-08,-2.6561e-08
0.030021,600.0,1.7444e-07,9.1147e-08,-9.1147e-08
0.033356,600.0,4.8004e-07,2.4132e-07,-2.4132e-07
