#: table_doi: 10.17182/hepdata.95354.v2/t19
#: name: Cut-flow table for 300 GeV (wino LSP) 2018A
#: description: Predicted signal yields for the 2018A data-taking period, corresponding to $21.1\,\text{fb}^{-1}$, after the application of each search requirement for three chargino lifetime hypotheses ($\tau = 0.3$, $3.3$, and $33\,\text{ns}{}$) with a chargino mass of $300\,\text{GeV}{}$ in the case of a purely wino neutralino LSP. Excepting the final three, the requirements listed are cumulative such that only the events and objects passing a given requirement are considered in subsequent requirements. In the case of the final three requirements on the number of tracker layers with measurement, these are exclusive signal category selections where only one is applied for each category. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: cut-flow_table_for_300_gev_(wino_lsp)_2018a.yaml
Requirement,"Number of passing events for $\tau = 0.3\,\text{ns}{}$",1 s.d. +,1 s.d. -
"$\geq 1$ track with $\Delta R (\text{track}, \text{electron}) > 0.15$",203.2,7.0,-7.0
"$\geq 1$ track with $\Delta R (\text{track}, \text{muon}) > 0.15$",191.3,6.8,-6.8
"$\geq 1$ track with $\Delta R (\text{track}, \tau_{\text{h}}) > 0.15$",191.3,6.8,-6.8
"$\geq 1$ track with $E_{\text{calo}} < 10\,\text{GeV}{}$",188.8,6.8,-6.8
$\geq 1$ track with $\geq 3$ missing outer hits,107.6,5.1,-5.1
$\geq 1$ track with number of tracker layers with measurement == $4$,21.2,2.3,-2.3
$\geq 1$ track with number of tracker layers with measurement == $5$,19.5,2.2,-2.2
$\geq 1$ track with number of tracker layers with measurement \geq 6$,69.1,4.1,-4.1

Requirement,"Number of passing events for $\tau = 33\,\text{ns}{}$",1 s.d. +,1 s.d. -
total,12168.0,54.9,-54.9
trigger,1195.8,17.2,-17.2
passes $p_{\text{T}}^{\text{miss}}$ filters,1195.3,17.2,-17.2
"$p_{\text{T}}^{\text{miss}} > 120\,\text{GeV}{}$",1151.3,16.9,-16.9
"$\geq 1$ jet with $p_{\text{T}} > 110\,\text{GeV}{}$ and $|\eta| < 2.4$",1003.1,15.8,-15.8
"==0 pairs of jets with $\Delta\phi_{\text{jet, jet}} > 2.5$",862.6,14.6,-14.6
"$|\Delta\phi(\mbox{leading jet}, \vec{p}_{\text{T}}^{\text{miss}})| > 0.5$",862.4,14.6,-14.6
$\geq 1$ track with $|\eta| < 2.1$,855.0,14.5,-14.5
"$\geq 1$ track with $p_{\text{T}} > 55\,\text{GeV}{}$",741.7,13.5,-13.5
$\geq 1$ track passing fiducial selections,506.0,11.2,-11.2
$\geq 1$ track with $\geq 4$ pixel hits,351.9,9.3,-9.3
$\geq 1$ track with no missing inner hits,351.2,9.3,-9.3
$\geq 1$ track with no missing middle hits,305.2,8.7,-8.7
$\geq 1$ track with relative track isolation $< 5\%$,251.8,7.9,-7.9
"$\geq 1$ track with $|d_{\text{xy}}| < 0.02\,\text{cm}{}$",251.5,7.9,-7.9
"$\geq 1$ track with $|d_z| < 0.5\,\text{cm}{}$",251.5,7.9,-7.9
"$\geq 1$ track with $\Delta R (\text{track}, \text{jet}) > 0.5$",249.3,7.9,-7.9
"$\geq 1$ track with $\Delta R (\text{track}, \text{electron}) > 0.15$",233.7,7.6,-7.6
"$\geq 1$ track with $\Delta R (\text{track}, \text{muon}) > 0.15$",80.4,4.5,-4.5
"$\geq 1$ track with $\Delta R (\text{track}, \tau_{\text{h}}) > 0.15$",80.4,4.5,-4.5
"$\geq 1$ track with $E_{\text{calo}} < 10\,\text{GeV}{}$",78.9,4.4,-4.4
$\geq 1$ track with $\geq 3$ missing outer hits,23.7,2.4,-2.4
$\geq 1$ track with number of tracker layers with measurement == $4$,4.45,1.05,-1.05
$\geq 1$ track with number of tracker layers with measurement == $5$,2.97,0.86,-0.86
$\geq 1$ track with number of tracker layers with measurement \geq 6$,15.6,2.0,-2.0

