#                prod                mhscp              mrec100 
                 3540                  700       0.242144980577 
                 1438                  500        0.47019028898 
                  947                  800       0.456122700784 
                 1791                  200      0.0711987310772 
                 1062                  900       0.435456653132 
                 2748                 2400      0.0401367132567 
                  660                  400       0.480640057161 
                  590                  200       0.353640108335 
                 5100                 1000       0.175223302386 
                 5100                  300      0.0228308963156 
                 2679                 2000      0.0900783148094 
                  626                  600       0.471711148436 
                  505                  500       0.461811528645 
                 1069                  150                  0.0 
                  708                  200         0.3144674558 
                 1844                  800       0.513948516045 
                  164                  100                  0.0 
                  984                  250        0.30477484719 
                 4266                 1000       0.250577068465 
                 1546                  150                  0.0 
                 1348                 1000       0.420616048007 
                  755                  700       0.459907107372 
                  899                  500       0.510741571557 
                 1241                 1000       0.416684354152 
                  800                  600       0.477570804755 
                  623                  300       0.461441368333 
                 1086                  550       0.526698877477 
                 1205                 1200       0.366250472252 
                 1700                  350       0.256791281078 
                 4270                  800       0.200686511357 
                 5100                  400      0.0439095672025 
                 5100                 1800       0.156142168107 
                 3183                 1800        0.15625214004 
                 1306                  600       0.524757193715 
                 3541                  500       0.129068544776 
                 3062                  200      0.0261581565583 
                  627                  100                  0.0 
                 3725                  100                  0.0 
                  235                  100                  0.0 
                 1113                  800        0.47616206088 
                 4266                  350      0.0464518704125 
                 2947                  500       0.192853998914 
                  638                  550       0.459603107751 
                 1105                 1100       0.395567157004 
                 2516                  600        0.33708239466 
                 2433                 2400      0.0430611043532 
                  417                  300       0.413579750134 
                 1563                 1300       0.306946668815 
                  684                  250       0.402286716381 
                  477                  350       0.431398692654 
                  377                  300       0.407159067895 
                 3897                 2600         0.0396331801 
                  309                  200       0.352967542327 
                 1871                 1800       0.156102617868 
                 1671                 1000       0.447862315606 
                 1112                  100                  0.0 
                 2012                 1800       0.151679930189 
                 1728                  250       0.130357838805 
                 4316                  200      0.0146557615308 
                 1005                 1000       0.424785275898 
                 1429                 1400       0.249488662645 
                 2485                  550       0.306872183402 
                  575                  250       0.418713393348 
                 3621                 1100       0.329003630119 
                  432                  350       0.423342461394 
                  575                  450       0.455172843052 
                 3280                 3000      0.0218384812624 
                 1199                 1100       0.379257254212 
                 2156                  800       0.486553273534 
                 2464                  350       0.128633915937 
                 2405                 2400       0.043404644157 
                 1987                 1100       0.418944299335 
                 5100                 3500      0.0067294448257 
                  482                  400       0.437379141024 
                 1777                  450       0.361220938006 
                 3580                 1200       0.328339465253 
                 2953                 2000      0.0907104570921 
                 1789                 1600       0.182436363843 
                 4227                 4000      0.0042065188815 
                 1496                  450       0.427927177011 
                 1262                 1200        0.35103773574 
                 3623                 1300       0.293120476391 
                 3560                  550        0.15623215629 
                  399                  350       0.415913605455 
                  605                  600       0.474261098516 
                 4276                  400      0.0594050358063 
                 1805                 1800       0.161078574088 
                  612                  350       0.468607886858 
                 1237                  200       0.146016102462 
                 2081                  400       0.236889018439 
                  305                  300       0.410260244571 
                  357                  200       0.371207693724 
                  848                  700       0.466325422203 
                 4409                 4000      0.0034840796079 
                  958                  900       0.436827068636 
                 5100                 1100       0.186129508772 
                 2115                  300       0.128446569272 
                  761                  100                  0.0 
                  192                  150                  0.0 
                 1904                 1000       0.460769857256 
                  552                  500       0.447682990761 
                 2631                 1100       0.413327333132 
                  686                  550        0.46473322445 
                 4273                  600       0.129792384767 
                  788                  500       0.497980615374 
                  251                  150                  0.0 
                 2681                 2600       0.038259169457 
                 1028                 1000       0.419507017611 
                 1329                 1300       0.322180931399 
                 1665                 1600       0.186972266638 
                 5100                  150                  0.0 
                 2636                 2600      0.0390369534113 
                  531                  450       0.448548962906 
