## HSCPM5 efficiencies
## x	y	z	 effi
705.0	400.0	320.0	0.653
705.0	400.0	340.0	0.657
705.0	400.0	360.0	0.668
705.0	400.0	380.0	0.673
705.0	450.0	340.0	0.662
705.0	450.0	360.0	0.671
705.0	450.0	380.0	0.675
705.0	450.0	400.0	0.684
705.0	450.0	430.0	0.686
705.0	500.0	200.0	0.46
705.0	500.0	280.0	0.62
705.0	500.0	300.0	0.642
705.0	500.0	320.0	0.656
705.0	500.0	340.0	0.665
705.0	500.0	360.0	0.669
705.0	500.0	380.0	0.669
705.0	500.0	400.0	0.67
705.0	500.0	430.0	0.672
705.0	500.0	480.0	0.671
705.0	550.0	200.0	0.417
705.0	550.0	280.0	0.603
705.0	550.0	300.0	0.637
705.0	550.0	320.0	0.65
705.0	550.0	340.0	0.664
705.0	550.0	360.0	0.668
705.0	550.0	380.0	0.668
705.0	550.0	400.0	0.666
705.0	550.0	430.0	0.663
705.0	550.0	480.0	0.65
705.0	600.0	200.0	0.371
705.0	600.0	280.0	0.582
705.0	600.0	300.0	0.615
705.0	600.0	320.0	0.635
705.0	600.0	340.0	0.652
705.0	600.0	360.0	0.664
705.0	600.0	380.0	0.671
705.0	600.0	400.0	0.668
705.0	600.0	430.0	0.664
705.0	650.0	200.0	0.325
705.0	650.0	280.0	0.561
705.0	650.0	300.0	0.597
705.0	650.0	320.0	0.623
705.0	650.0	340.0	0.644
705.0	650.0	360.0	0.662
705.0	650.0	380.0	0.679
705.0	650.0	400.0	0.681
705.0	650.0	430.0	0.685
705.0	650.0	480.0	0.663
705.0	650.0	640.0	0.607
705.0	700.0	200.0	0.279
705.0	700.0	280.0	0.525
705.0	700.0	300.0	0.565
705.0	700.0	320.0	0.595
705.0	700.0	340.0	0.623
705.0	700.0	360.0	0.649
705.0	700.0	380.0	0.666
705.0	700.0	400.0	0.677
705.0	700.0	430.0	0.689
705.0	700.0	480.0	0.678
705.0	700.0	640.0	0.606
705.0	700.0	690.0	0.589
805.0	200.0	170.0	0.18
805.0	250.0	170.0	0.292
805.0	250.0	200.0	0.333
805.0	250.0	240.0	0.362
805.0	300.0	170.0	0.361
805.0	300.0	200.0	0.42
805.0	300.0	240.0	0.463
805.0	300.0	280.0	0.495
805.0	350.0	170.0	0.373
805.0	350.0	200.0	0.46
805.0	350.0	240.0	0.522
805.0	350.0	280.0	0.56
805.0	350.0	300.0	0.576
805.0	350.0	320.0	0.59
805.0	350.0	340.0	0.592
805.0	400.0	170.0	0.373
805.0	400.0	200.0	0.465
805.0	400.0	240.0	0.55
805.0	400.0	280.0	0.597
805.0	400.0	300.0	0.617
805.0	400.0	320.0	0.623
805.0	400.0	340.0	0.636
805.0	400.0	360.0	0.646
805.0	400.0	380.0	0.653
805.0	450.0	170.0	0.352
805.0	450.0	200.0	0.461
805.0	450.0	240.0	0.549
805.0	450.0	280.0	0.61
805.0	450.0	300.0	0.631
805.0	450.0	320.0	0.646
805.0	450.0	340.0	0.654
805.0	450.0	360.0	0.661
805.0	450.0	380.0	0.678
805.0	450.0	400.0	0.687
805.0	450.0	430.0	0.692
805.0	500.0	170.0	0.324
805.0	500.0	200.0	0.442
805.0	500.0	240.0	0.545
805.0	500.0	280.0	0.609
805.0	500.0	300.0	0.631
805.0	500.0	320.0	0.649
805.0	500.0	340.0	0.664
805.0	500.0	360.0	0.676
805.0	500.0	380.0	0.682
805.0	500.0	400.0	0.684
805.0	500.0	430.0	0.69
805.0	500.0	480.0	0.697
805.0	550.0	170.0	0.284
805.0	550.0	200.0	0.412
805.0	550.0	240.0	0.518
805.0	550.0	280.0	0.597
805.0	550.0	300.0	0.625
805.0	550.0	320.0	0.647
805.0	550.0	340.0	0.662
805.0	550.0	360.0	0.675
805.0	550.0	380.0	0.687
805.0	550.0	400.0	0.686
805.0	550.0	430.0	0.693
805.0	550.0	480.0	0.686
805.0	600.0	200.0	0.368
805.0	600.0	240.0	0.494
805.0	600.0	280.0	0.58
805.0	600.0	300.0	0.61
805.0	600.0	320.0	0.637
805.0	600.0	340.0	0.658
805.0	600.0	360.0	0.67
805.0	600.0	380.0	0.68
805.0	600.0	400.0	0.686
805.0	600.0	430.0	0.688
805.0	600.0	480.0	0.678
805.0	650.0	340.0	0.639
805.0	650.0	360.0	0.658
805.0	650.0	380.0	0.675
805.0	650.0	400.0	0.687
805.0	650.0	430.0	0.688
805.0	650.0	480.0	0.678
805.0	650.0	640.0	0.628
805.0	700.0	480.0	0.683
805.0	700.0	640.0	0.622
805.0	750.0	170.0	0.131
805.0	750.0	640.0	0.629
805.0	800.0	170.0	0.1
805.0	800.0	200.0	0.197
805.0	800.0	280.0	0.444
805.0	800.0	300.0	0.495
805.0	800.0	320.0	0.538
805.0	800.0	340.0	0.578
805.0	800.0	360.0	0.608
805.0	800.0	380.0	0.632
805.0	800.0	400.0	0.652
805.0	800.0	430.0	0.677
805.0	800.0	480.0	0.697
805.0	800.0	640.0	0.641
805.0	800.0	790.0	0.577
1005.0	200.0	170.0	0.0806
1005.0	250.0	170.0	0.176
1005.0	250.0	200.0	0.191
1005.0	250.0	240.0	0.206
1005.0	300.0	170.0	0.26
1005.0	300.0	200.0	0.297
1005.0	300.0	240.0	0.325
1005.0	300.0	280.0	0.348
1005.0	350.0	170.0	0.303
1005.0	350.0	200.0	0.363
1005.0	350.0	240.0	0.414
1005.0	350.0	280.0	0.445
1005.0	350.0	300.0	0.456
1005.0	350.0	320.0	0.47
1005.0	350.0	340.0	0.476
1005.0	400.0	170.0	0.311
1005.0	400.0	200.0	0.39
1005.0	400.0	240.0	0.463
1005.0	400.0	280.0	0.509
1005.0	400.0	300.0	0.529
1005.0	400.0	320.0	0.542
1005.0	400.0	340.0	0.553
1005.0	400.0	360.0	0.57
1005.0	400.0	380.0	0.571
1005.0	450.0	170.0	0.306
1005.0	450.0	200.0	0.396
1005.0	450.0	240.0	0.486
1005.0	450.0	280.0	0.551
1005.0	450.0	300.0	0.571
1005.0	450.0	320.0	0.586
1005.0	450.0	340.0	0.593
1005.0	450.0	360.0	0.611
1005.0	450.0	380.0	0.621
1005.0	450.0	400.0	0.632
1005.0	450.0	430.0	0.638
1005.0	500.0	170.0	0.29
1005.0	500.0	200.0	0.392
1005.0	500.0	240.0	0.49
1005.0	500.0	280.0	0.561
1005.0	500.0	300.0	0.591
1005.0	500.0	320.0	0.606
1005.0	500.0	340.0	0.627
1005.0	500.0	360.0	0.637
1005.0	500.0	380.0	0.652
1005.0	500.0	400.0	0.658
1005.0	500.0	430.0	0.668
1005.0	500.0	480.0	0.676
1005.0	550.0	170.0	0.265
1005.0	550.0	200.0	0.375
1005.0	550.0	240.0	0.48
1005.0	550.0	280.0	0.56
1005.0	550.0	300.0	0.593
1005.0	550.0	320.0	0.613
1005.0	550.0	340.0	0.634
1005.0	550.0	360.0	0.653
1005.0	550.0	380.0	0.668
1005.0	550.0	400.0	0.673
1005.0	550.0	430.0	0.686
1005.0	550.0	480.0	0.697
1005.0	600.0	200.0	0.346
1005.0	600.0	240.0	0.464
1005.0	600.0	280.0	0.55
1005.0	600.0	300.0	0.586
1005.0	600.0	320.0	0.616
1005.0	600.0	340.0	0.636
1005.0	600.0	360.0	0.657
1005.0	600.0	380.0	0.673
1005.0	600.0	400.0	0.685
1005.0	600.0	430.0	0.696
1005.0	600.0	480.0	0.703
1005.0	650.0	340.0	0.631
1005.0	650.0	360.0	0.653
1005.0	650.0	380.0	0.672
1005.0	650.0	400.0	0.682
1005.0	650.0	430.0	0.695
1005.0	650.0	480.0	0.705
1005.0	650.0	640.0	0.693
1005.0	700.0	480.0	0.707
1005.0	700.0	640.0	0.688
1005.0	750.0	170.0	0.127
1005.0	750.0	640.0	0.675
1005.0	800.0	170.0	0.0974
