# Chargino_width_GeV,Chargino_mass_GeV,Atimesepsilon_n_textlay__5,1_sd_,1_sd__1
9.86614e-15,3.00000e+02,1.04530e-05,2.99160e-06,-2.99160e-06
6.57740e-15,3.00000e+02,8.02032e-05,2.02500e-05,-2.02500e-05
4.93292e-15,3.00000e+02,2.24311e-04,4.84650e-05,-4.84650e-05
3.94652e-15,3.00000e+02,4.14890e-04,7.70460e-05,-7.70460e-05
3.28870e-15,3.00000e+02,6.22795e-04,1.02040e-04,-1.02040e-04
2.81896e-15,3.00000e+02,8.29702e-04,1.24100e-04,-1.24100e-04
2.46655e-15,3.00000e+02,1.02694e-03,1.44910e-04,-1.44910e-04
2.19247e-15,3.00000e+02,1.21183e-03,1.66210e-04,-1.66210e-04
1.97326e-15,3.00000e+02,1.38473e-03,1.90280e-04,-1.90280e-04
9.86614e-16,3.00000e+02,3.08800e-03,5.12040e-04,-5.12040e-04
6.57740e-16,3.00000e+02,3.69051e-03,5.26410e-04,-5.26410e-04
4.93292e-16,3.00000e+02,3.76773e-03,4.80030e-04,-4.80030e-04
3.94652e-16,3.00000e+02,3.67187e-03,4.28290e-04,-4.28290e-04
3.28870e-16,3.00000e+02,3.51864e-03,3.83460e-04,-3.83460e-04
2.81896e-16,3.00000e+02,3.34824e-03,3.46880e-04,-3.46880e-04
2.46655e-16,3.00000e+02,3.17570e-03,3.17340e-04,-3.17340e-04
2.19247e-16,3.00000e+02,3.00702e-03,2.93300e-04,-2.93300e-04
1.97326e-16,3.00000e+02,2.84482e-03,2.73440e-04,-2.73440e-04
9.86614e-17,3.00000e+02,3.41303e-03,1.28320e-03,-1.28320e-03
6.57740e-17,3.00000e+02,2.07328e-03,6.38820e-04,-6.38820e-04
4.93292e-17,3.00000e+02,1.44876e-03,3.90870e-04,-3.90870e-04
3.94652e-17,3.00000e+02,1.09405e-03,2.69610e-04,-2.69610e-04
3.28870e-17,3.00000e+02,8.68658e-04,2.01350e-04,-2.01350e-04
2.81896e-17,3.00000e+02,7.14082e-04,1.59070e-04,-1.59070e-04
2.46655e-17,3.00000e+02,6.01970e-04,1.30960e-04,-1.30960e-04
2.19247e-17,3.00000e+02,5.17118e-04,1.11180e-04,-1.11180e-04
1.97326e-17,3.00000e+02,4.42865e-04,9.65970e-05,-9.65970e-05
9.86614e-18,3.00000e+02,2.14907e-04,1.08530e-05,-1.08530e-05
6.57740e-18,3.00000e+02,1.13414e-04,1.36480e-05,-1.36480e-05
4.93292e-18,3.00000e+02,7.50045e-05,1.29470e-05,-1.29470e-05
3.94652e-18,3.00000e+02,5.69877e-05,1.15300e-05,-1.15300e-05
3.28870e-18,3.00000e+02,4.75817e-05,1.04430e-05,-1.04430e-05
2.81896e-18,3.00000e+02,4.22048e-05,9.92710e-06,-9.92710e-06
2.46655e-18,3.00000e+02,3.87837e-05,9.84140e-06,-9.84140e-06
2.19247e-18,3.00000e+02,3.63304e-05,9.95650e-06,-9.95650e-06
1.97326e-18,3.00000e+02,3.43672e-05,1.01060e-05,-1.01060e-05
9.86614e-14,4.00000e+02,1.20016e-33,1.29290e-33,-1.29290e-33
6.57740e-14,4.00000e+02,4.48011e-23,4.45330e-23,-4.45330e-23
4.93292e-14,4.00000e+02,7.51259e-18,6.97480e-18,-6.97480e-18
3.94652e-14,4.00000e+02,9.49790e-15,8.25770e-15,-8.25770e-15
3.28870e-14,4.00000e+02,1.06280e-12,8.65430e-13,-8.65430e-13
2.81896e-14,4.00000e+02,3.00462e-11,2.29370e-11,-2.29370e-11
2.46655e-14,4.00000e+02,3.61331e-10,2.59200e-10,-2.59200e-10
2.19247e-14,4.00000e+02,2.46466e-09,1.66710e-09,-1.66710e-09
1.97326e-14,4.00000e+02,1.13227e-08,7.24990e-09,-7.24990e-09
9.86614e-15,4.00000e+02,9.02068e-06,3.83640e-06,-3.83640e-06
6.57740e-15,4.00000e+02,8.11813e-05,2.39990e-05,-2.39990e-05
4.93292e-15,4.00000e+02,2.54408e-04,5.37250e-05,-5.37250e-05
3.94652e-15,4.00000e+02,5.15225e-04,8.32980e-05,-8.32980e-05
3.28870e-15,4.00000e+02,8.28286e-04,1.10410e-04,-1.10410e-04
2.81896e-15,4.00000e+02,1.16069e-03,1.35960e-04,-1.35960e-04
2.46655e-15,4.00000e+02,1.48932e-03,1.61160e-04,-1.61160e-04
2.19247e-15,4.00000e+02,1.80006e-03,1.86510e-04,-1.86510e-04
1.97326e-15,4.00000e+02,2.08505e-03,2.11860e-04,-2.11860e-04
9.86614e-16,4.00000e+02,3.47220e-03,6.13140e-04,-6.13140e-04
6.57740e-16,4.00000e+02,4.37801e-03,5.68900e-04,-5.68900e-04
4.93292e-16,4.00000e+02,4.61502e-03,5.02660e-04,-5.02660e-04
3.94652e-16,4.00000e+02,4.56731e-03,4.48110e-04,-4.48110e-04
3.28870e-16,4.00000e+02,4.40182e-03,4.05880e-04,-4.05880e-04
2.81896e-16,4.00000e+02,4.19225e-03,3.72430e-04,-3.72430e-04
2.46655e-16,4.00000e+02,3.97146e-03,3.44960e-04,-3.44960e-04
2.19247e-16,4.00000e+02,3.75419e-03,3.21790e-04,-3.21790e-04
1.97326e-16,4.00000e+02,3.54644e-03,3.01990e-04,-3.01990e-04
9.86614e-17,4.00000e+02,1.80003e-03,6.07660e-04,-6.07660e-04
6.57740e-17,4.00000e+02,1.26181e-03,3.45570e-04,-3.45570e-04
4.93292e-17,4.00000e+02,9.81216e-04,2.43540e-04,-2.43540e-04
3.94652e-17,4.00000e+02,8.11338e-04,1.91440e-04,-1.91440e-04
3.28870e-17,4.00000e+02,6.95600e-04,1.60140e-04,-1.60140e-04
2.81896e-17,4.00000e+02,6.09749e-04,1.39410e-04,-1.39410e-04
2.46655e-17,4.00000e+02,5.42193e-04,1.24700e-04,-1.24700e-04
2.19247e-17,4.00000e+02,4.86895e-04,1.13630e-04,-1.13630e-04
1.97326e-17,4.00000e+02,4.40400e-04,1.04830e-04,-1.04830e-04
9.86614e-18,4.00000e+02,1.06851e-04,1.59350e-05,-1.59350e-05
6.57740e-18,4.00000e+02,1.13368e-04,2.34770e-05,-2.34770e-05
4.93292e-18,4.00000e+02,1.06741e-04,2.52660e-05,-2.52660e-05
3.94652e-18,4.00000e+02,9.66680e-05,2.46740e-05,-2.46740e-05
3.28870e-18,4.00000e+02,8.67884e-05,2.32960e-05,-2.32960e-05
2.81896e-18,4.00000e+02,7.82658e-05,2.18020e-05,-2.18020e-05
2.46655e-18,4.00000e+02,7.12753e-05,2.05340e-05,-2.05340e-05
2.19247e-18,4.00000e+02,6.56345e-05,1.96730e-05,-1.96730e-05
1.97326e-18,4.00000e+02,6.10681e-05,1.92740e-05,-1.92740e-05
9.86614e-14,5.00000e+02,5.34021e-36,4.45480e-42,-4.45480e-42
6.57740e-14,5.00000e+02,1.30137e-24,1.08220e-28,-1.08220e-28
4.93292e-14,5.00000e+02,5.43965e-19,4.54220e-22,-4.54220e-22
3.94652e-14,5.00000e+02,1.16354e-15,3.87740e-18,-3.87740e-18
3.28870e-14,5.00000e+02,1.81388e-13,1.51730e-15,-1.51730e-15
2.81896e-14,5.00000e+02,6.40217e-12,1.02970e-13,-1.02970e-13
2.46655e-14,5.00000e+02,8.99277e-11,2.35130e-12,-2.35130e-12
2.19247e-14,5.00000e+02,6.86574e-10,2.60790e-11,-2.60790e-11
1.97326e-14,5.00000e+02,3.43159e-09,1.74940e-10,-1.74940e-10
9.86614e-15,5.00000e+02,3.62157e-06,6.00530e-07,-6.00530e-07
6.57740e-15,5.00000e+02,3.33094e-05,6.54330e-06,-6.54330e-06
4.93292e-15,5.00000e+02,1.06969e-04,1.91310e-05,-1.91310e-05
3.94652e-15,5.00000e+02,2.29151e-04,3.58780e-05,-3.58780e-05
3.28870e-15,5.00000e+02,3.95280e-04,5.65400e-05,-5.65400e-05
2.81896e-15,5.00000e+02,5.95212e-04,8.17130e-05,-8.17130e-05
2.46655e-15,5.00000e+02,8.17444e-04,1.11530e-04,-1.11530e-04
2.19247e-15,5.00000e+02,1.05155e-03,1.45750e-04,-1.45750e-04
1.97326e-15,5.00000e+02,1.28878e-03,1.83930e-04,-1.83930e-04
9.86614e-16,5.00000e+02,4.07480e-03,5.42860e-04,-5.42860e-04
6.57740e-16,5.00000e+02,4.84866e-03,5.32840e-04,-5.32840e-04
4.93292e-16,5.00000e+02,4.98003e-03,4.89870e-04,-4.89870e-04
3.94652e-16,5.00000e+02,4.87158e-03,4.48180e-04,-4.48180e-04
3.28870e-16,5.00000e+02,4.67476e-03,4.12430e-04,-4.12430e-04
2.81896e-16,5.00000e+02,4.45023e-03,3.82680e-04,-3.82680e-04
2.46655e-16,5.00000e+02,4.22308e-03,3.58430e-04,-3.58430e-04
2.19247e-16,5.00000e+02,4.00344e-03,3.39140e-04,-3.39140e-04
1.97326e-16,5.00000e+02,3.79496e-03,3.24200e-04,-3.24200e-04
9.86614e-17,5.00000e+02,5.31159e-03,1.54340e-03,-1.54340e-03
6.57740e-17,5.00000e+02,3.50028e-03,8.92950e-04,-8.92950e-04
4.93292e-17,5.00000e+02,2.54730e-03,5.94050e-04,-5.94050e-04
3.94652e-17,5.00000e+02,1.98052e-03,4.32410e-04,-4.32410e-04
3.28870e-17,5.00000e+02,1.61295e-03,3.34450e-04,-3.34450e-04
2.81896e-17,5.00000e+02,1.36002e-03,2.70000e-04,-2.70000e-04
2.46655e-17,5.00000e+02,1.17928e-03,2.24900e-04,-2.24900e-04
2.19247e-17,5.00000e+02,1.04862e-03,1.91780e-04,-1.91780e-04
1.97326e-17,5.00000e+02,9.39664e-04,1.66500e-04,-1.66500e-04
9.86614e-18,5.00000e+02,3.46393e-04,3.49750e-05,-3.49750e-05
6.57740e-18,5.00000e+02,2.53641e-04,3.34430e-05,-3.34430e-05
4.93292e-18,5.00000e+02,2.05896e-04,2.99230e-05,-2.99230e-05
3.94652e-18,5.00000e+02,1.73887e-04,2.73080e-05,-2.73080e-05
3.28870e-18,5.00000e+02,1.49528e-04,2.51850e-05,-2.51850e-05
2.81896e-18,5.00000e+02,1.29955e-04,2.32320e-05,-2.32320e-05
2.46655e-18,5.00000e+02,1.13841e-04,2.13760e-05,-2.13760e-05
2.19247e-18,5.00000e+02,1.00404e-04,1.96240e-05,-1.96240e-05
1.97326e-18,5.00000e+02,8.90963e-05,1.79970e-05,-1.79970e-05
9.86614e-14,6.00000e+02,1.10801e-29,3.80360e-33,-3.80360e-33
6.57740e-14,6.00000e+02,1.65404e-20,8.51230e-23,-8.51230e-23
4.93292e-14,6.00000e+02,5.45776e-16,1.07440e-17,-1.07440e-17
3.94652e-14,6.00000e+02,2.57614e-13,1.11680e-14,-1.11680e-14
3.28870e-14,6.00000e+02,1.48268e-11,1.07170e-12,-1.07170e-12
2.81896e-14,6.00000e+02,2.59024e-10,2.66180e-11,-2.66180e-11
2.46655e-14,6.00000e+02,2.16092e-09,2.85830e-10,-2.85830e-10
2.19247e-14,6.00000e+02,1.10563e-08,1.76250e-09,-1.76250e-09
1.97326e-14,6.00000e+02,4.02783e-08,7.39280e-09,-7.39280e-09
9.86614e-15,6.00000e+02,1.09218e-05,3.14230e-06,-3.14230e-06
6.57740e-15,6.00000e+02,6.47433e-05,1.77480e-05,-1.77480e-05
4.93292e-15,6.00000e+02,1.68720e-04,3.81320e-05,-3.81320e-05
3.94652e-15,6.00000e+02,3.30140e-04,5.92000e-05,-5.92000e-05
3.28870e-15,6.00000e+02,5.51474e-04,8.14450e-05,-8.14450e-05
2.81896e-15,6.00000e+02,8.22625e-04,1.06910e-04,-1.06910e-04
2.46655e-15,6.00000e+02,1.12665e-03,1.36700e-04,-1.36700e-04
2.19247e-15,6.00000e+02,1.44612e-03,1.70860e-04,-1.70860e-04
1.97326e-15,6.00000e+02,1.76645e-03,2.09240e-04,-2.09240e-04
9.86614e-16,6.00000e+02,3.41394e-03,4.34280e-04,-4.34280e-04
6.57740e-16,6.00000e+02,4.86900e-03,4.91120e-04,-4.91120e-04
4.93292e-16,6.00000e+02,5.44476e-03,4.73670e-04,-4.73670e-04
3.94652e-16,6.00000e+02,5.58189e-03,4.40620e-04,-4.40620e-04
3.28870e-16,6.00000e+02,5.51201e-03,4.07640e-04,-4.07640e-04
2.81896e-16,6.00000e+02,5.34565e-03,3.78750e-04,-3.78750e-04
2.46655e-16,6.00000e+02,5.13556e-03,3.54520e-04,-3.54520e-04
2.19247e-16,6.00000e+02,4.90784e-03,3.34390e-04,-3.34390e-04
1.97326e-16,6.00000e+02,4.67610e-03,3.17480e-04,-3.17480e-04
9.86614e-17,6.00000e+02,2.36744e-03,9.04780e-04,-9.04780e-04
6.57740e-17,6.00000e+02,2.11419e-03,6.40850e-04,-6.40850e-04
4.93292e-17,6.00000e+02,1.82442e-03,4.70850e-04,-4.70850e-04
3.94652e-17,6.00000e+02,1.58685e-03,3.61380e-04,-3.61380e-04
3.28870e-17,6.00000e+02,1.40366e-03,2.89720e-04,-2.89720e-04
2.81896e-17,6.00000e+02,1.26288e-03,2.42760e-04,-2.42760e-04
2.46655e-17,6.00000e+02,1.15271e-03,2.12350e-04,-2.12350e-04
2.19247e-17,6.00000e+02,1.06433e-03,1.93050e-04,-1.93050e-04
1.97326e-17,6.00000e+02,9.91552e-04,1.81050e-04,-1.81050e-04
9.86614e-18,6.00000e+02,3.61209e-04,1.70230e-04,-1.70230e-04
6.57740e-18,6.00000e+02,2.41983e-04,1.08610e-04,-1.08610e-04
4.93292e-18,6.00000e+02,1.82967e-04,7.45370e-05,-7.45370e-05
3.94652e-18,6.00000e+02,1.49907e-04,5.51550e-05,-5.51550e-05
3.28870e-18,6.00000e+02,1.28889e-04,4.33750e-05,-4.33750e-05
2.81896e-18,6.00000e+02,1.14158e-04,3.57840e-05,-3.57840e-05
2.46655e-18,6.00000e+02,1.03071e-04,3.06880e-05,-3.06880e-05
2.19247e-18,6.00000e+02,9.42699e-05,2.71690e-05,-2.71690e-05
1.97326e-18,6.00000e+02,8.69958e-05,2.46780e-05,-2.46780e-05
9.86614e-14,7.00000e+02,3.81832e-36,1.37710e-42,-1.37710e-42
6.57740e-14,7.00000e+02,1.06699e-24,4.13580e-29,-4.13580e-29
4.93292e-14,7.00000e+02,4.79656e-19,1.91230e-22,-1.91230e-22
3.94652e-14,7.00000e+02,1.07226e-15,1.72450e-18,-1.72450e-18
3.28870e-14,7.00000e+02,1.72004e-13,6.98660e-16,-6.98660e-16
2.81896e-14,7.00000e+02,6.18980e-12,4.85340e-14,-4.85340e-14
2.46655e-14,7.00000e+02,8.81790e-11,1.12680e-12,-1.12680e-12
2.19247e-14,7.00000e+02,6.80795e-10,1.26480e-11,-1.26480e-11
1.97326e-14,7.00000e+02,3.43653e-09,8.56020e-11,-8.56020e-11
9.86614e-15,7.00000e+02,4.04632e-06,3.03930e-07,-3.03930e-07
6.57740e-15,7.00000e+02,3.98575e-05,3.49560e-06,-3.49560e-06
4.93292e-15,7.00000e+02,1.25971e-04,1.15960e-05,-1.15960e-05
3.94652e-15,7.00000e+02,2.56408e-04,2.52400e-05,-2.52400e-05
3.28870e-15,7.00000e+02,4.21495e-04,4.47700e-05,-4.47700e-05
2.81896e-15,7.00000e+02,6.14182e-04,7.00780e-05,-7.00780e-05
2.46655e-15,7.00000e+02,8.29612e-04,1.00970e-04,-1.00970e-04
2.19247e-15,7.00000e+02,1.06403e-03,1.38220e-04,-1.38220e-04
1.97326e-15,7.00000e+02,1.31389e-03,1.84400e-04,-1.84400e-04
9.86614e-16,7.00000e+02,3.26854e-03,5.95920e-04,-5.95920e-04
6.57740e-16,7.00000e+02,4.31418e-03,5.88910e-04,-5.88910e-04
4.93292e-16,7.00000e+02,4.76055e-03,5.38340e-04,-5.38340e-04
3.94652e-16,7.00000e+02,4.87972e-03,4.88120e-04,-4.88120e-04
3.28870e-16,7.00000e+02,4.82007e-03,4.44570e-04,-4.44570e-04
2.81896e-16,7.00000e+02,4.66642e-03,4.07560e-04,-4.07560e-04
2.46655e-16,7.00000e+02,4.46740e-03,3.76370e-04,-3.76370e-04
2.19247e-16,7.00000e+02,4.24987e-03,3.50390e-04,-3.50390e-04
1.97326e-16,7.00000e+02,4.02897e-03,3.29150e-04,-3.29150e-04
9.86614e-17,7.00000e+02,2.91275e-03,9.83710e-04,-9.83710e-04
6.57740e-17,7.00000e+02,2.31849e-03,6.33750e-04,-6.33750e-04
4.93292e-17,7.00000e+02,1.90903e-03,4.59250e-04,-4.59250e-04
3.94652e-17,7.00000e+02,1.61783e-03,3.55440e-04,-3.55440e-04
3.28870e-17,7.00000e+02,1.40217e-03,2.88180e-04,-2.88180e-04
2.81896e-17,7.00000e+02,1.23521e-03,2.41740e-04,-2.41740e-04
2.46655e-17,7.00000e+02,1.10105e-03,2.07870e-04,-2.07870e-04
2.19247e-17,7.00000e+02,9.90104e-04,1.82020e-04,-1.82020e-04
1.97326e-17,7.00000e+02,8.96404e-04,1.61530e-04,-1.61530e-04
9.86614e-18,7.00000e+02,1.55847e-04,5.88080e-05,-5.88080e-05
6.57740e-18,7.00000e+02,1.50749e-04,4.92410e-05,-4.92410e-05
4.93292e-18,7.00000e+02,1.35788e-04,3.84020e-05,-3.84020e-05
3.94652e-18,7.00000e+02,1.21058e-04,3.03610e-05,-3.03610e-05
3.28870e-18,7.00000e+02,1.08717e-04,2.50030e-05,-2.50030e-05
2.81896e-18,7.00000e+02,9.85672e-05,2.16740e-05,-2.16740e-05
2.46655e-18,7.00000e+02,9.00636e-05,1.96970e-05,-1.96970e-05
2.19247e-18,7.00000e+02,8.27674e-05,1.85080e-05,-1.85080e-05
1.97326e-18,7.00000e+02,7.63853e-05,1.77230e-05,-1.77230e-05
9.86614e-14,8.00000e+02,2.48310e-45,4.07600e-52,-4.07600e-52
6.57740e-14,8.00000e+02,9.76160e-31,2.57200e-35,-2.57200e-35
4.93292e-14,8.00000e+02,1.64460e-23,5.47290e-27,-5.47290e-27
3.94652e-14,8.00000e+02,3.23715e-19,4.93950e-22,-4.93950e-22
3.28870e-14,8.00000e+02,2.21836e-16,9.35200e-19,-9.35200e-19
2.81896e-14,8.00000e+02,2.25749e-14,1.96530e-16,-1.96530e-16
2.46655e-14,8.00000e+02,7.02854e-13,1.05160e-14,-1.05160e-14
2.19247e-14,8.00000e+02,9.98760e-12,2.26880e-13,-2.26880e-13
1.97326e-14,8.00000e+02,8.22594e-11,2.59860e-12,-2.59860e-12
9.86614e-15,8.00000e+02,8.91448e-07,1.05600e-07,-1.05600e-07
6.57740e-15,8.00000e+02,1.85132e-05,2.78280e-06,-2.78280e-06
4.93292e-15,8.00000e+02,8.55345e-05,1.29330e-05,-1.29330e-05
3.94652e-15,8.00000e+02,2.17692e-04,3.15400e-05,-3.15400e-05
3.28870e-15,8.00000e+02,4.09878e-04,5.71150e-05,-5.71150e-05
2.81896e-15,8.00000e+02,6.48682e-04,8.83090e-05,-8.83090e-05
2.46655e-15,8.00000e+02,9.21837e-04,1.24510e-04,-1.24510e-04
2.19247e-15,8.00000e+02,1.22188e-03,1.65940e-04,-1.65940e-04
1.97326e-15,8.00000e+02,1.54567e-03,2.13730e-04,-2.13730e-04
9.86614e-16,8.00000e+02,3.36052e-03,5.77890e-04,-5.77890e-04
6.57740e-16,8.00000e+02,4.93479e-03,5.83360e-04,-5.83360e-04
4.93292e-16,8.00000e+02,5.66074e-03,5.52080e-04,-5.52080e-04
3.94652e-16,8.00000e+02,5.93407e-03,5.11050e-04,-5.11050e-04
3.28870e-16,8.00000e+02,5.98678e-03,4.71520e-04,-4.71520e-04
